Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.015141047924351492]"
250,"(0, 1)","['AL', -0.35848418966372936]"
250,"(0, 2)","['AL', -0.2202646405981667]"
250,"(0, 3)","['AD', -0.1399271795661105]"
250,"(0, 4)","['AD', 0.0906481512048412]"
250,"(1, 0)","['AU', -0.7018180549364148]"
250,"(1, 1)","['AD', -0.7750242537529687]"
250,"(1, 2)","['AD', -0.6297692938756392]"
250,"(1, 3)","['AR', 0.7373561470149417]"
250,"(1, 4)","['AD', 2.4657508243489175]"
250,"(2, 0)","['AU', -0.06305161550027465]"
250,"(2, 4)","['AD', 3.3215835180664826]"
250,"(3, 0)","['AU', -0.07118876602222456]"
250,"(3, 1)","['AL', -0.4532420806745131]"
250,"(3, 3)","['AD', 7.7336048856587585]"
250,"(3, 4)","['AL', 7.473921259467367]"
250,"(4, 0)","['AL', -0.6568315926195241]"
250,"(4, 1)","['AR', 0.4179102949022051]"
250,"(4, 2)","['AR', 2.6097993615838626]"
250,"(4, 3)","['AR', 9.12810747162354]"
500,"(0, 0)","['AL', -0.036777970062914146]"
500,"(0, 1)","['AL', -0.39386670598935725]"
500,"(0, 2)","['AD', -0.347161720836083]"
500,"(0, 3)","['AD', -0.24346545676162698]"
500,"(0, 4)","['AD', 0.08871673755440829]"
500,"(1, 0)","['AU', -0.7175984544250558]"
500,"(1, 1)","['AD', -0.8147747758336068]"
500,"(1, 2)","['AD', -0.722954607550208]"
500,"(1, 3)","['AR', 0.7048013239122349]"
500,"(1, 4)","['AD', 2.4628148233541314]"
500,"(2, 0)","['AU', -0.11734334600361078]"
500,"(2, 4)","['AD', 3.3271293943566387]"
500,"(3, 0)","['AU', -0.14187598160478035]"
500,"(3, 1)","['AL', -0.6310825598608594]"
500,"(3, 3)","['AD', 7.722729944167913]"
500,"(3, 4)","['AL', 7.470086989466944]"
500,"(4, 0)","['AL', -0.8044020905520144]"
500,"(4, 1)","['AR', 0.44872047467970827]"
500,"(4, 2)","['AR', 2.65106631592054]"
500,"(4, 3)","['AR', 9.128997162820438]"
750,"(0, 0)","['AD', -0.05966881516726824]"
750,"(0, 1)","['AL', -0.43350735925479256]"
750,"(0, 2)","['AL', -0.4671483194029487]"
750,"(0, 3)","['AD', -0.32355944221849664]"
750,"(0, 4)","['AD', 0.08355778974392954]"
750,"(1, 0)","['AU', -0.7344534244102898]"
750,"(1, 1)","['AD', -0.8554823913935775]"
750,"(1, 2)","['AD', -0.8157276119228584]"
750,"(1, 3)","['AR', 0.702155984932583]"
750,"(1, 4)","['AD', 2.465201168049767]"
750,"(2, 0)","['AU', -0.17033481063201797]"
750,"(2, 4)","['AD', 3.33894150932326]"
750,"(3, 0)","['AL', -0.21487682398412877]"
750,"(3, 1)","['AL', -0.795431966492505]"
750,"(3, 3)","['AD', 7.716992994429277]"
750,"(3, 4)","['AL', 7.465737140700541]"
750,"(4, 0)","['AL', -0.9256045578199651]"
750,"(4, 1)","['AR', 0.4879774968520819]"
750,"(4, 2)","['AR', 2.692602662102294]"
750,"(4, 3)","['AR', 9.127947299998583]"
1000,"(0, 0)","['AD', -0.08405567403756589]"
1000,"(0, 1)","['AL', -0.4676989510141534]"
1000,"(0, 2)","['AL', -0.6037438364820521]"
1000,"(0, 3)","['AD', -0.38317420949930725]"
1000,"(0, 4)","['AD', 0.10308575643263221]"
1000,"(1, 0)","['AU', -0.7507701374347454]"
1000,"(1, 1)","['AD', -0.9056356505769719]"
1000,"(1, 2)","['AD', -0.8729023268051338]"
1000,"(1, 3)","['AR', 0.69494832354654]"
1000,"(1, 4)","['AD', 2.4697404238681986]"
1000,"(2, 0)","['AU', -0.22990885616339013]"
