Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AL', -0.003727752215438558]"
250,"(0, 1)","['AD', -0.16914660344170396]"
250,"(0, 2)","['AD', -0.19622558337013987]"
250,"(0, 3)","['AD', -0.08436239112628703]"
250,"(0, 4)","['AR', 0.021501362469810447]"
250,"(1, 0)","['AU', -0.20029652020988467]"
250,"(1, 1)","['AU', -0.4155531540266473]"
250,"(1, 2)","['AR', -0.2690364304906893]"
250,"(1, 3)","['AR', -0.09271492135958406]"
250,"(1, 4)","['AD', 0.7705401960736853]"
250,"(2, 0)","['AU', -0.007869390920255941]"
250,"(2, 4)","['AR', 1.9849403670330785]"
250,"(3, 0)","['AU', -0.012026747056235161]"
250,"(3, 1)","['AU', -0.21382368486796974]"
250,"(3, 3)","['AR', 3.3192488902927484]"
250,"(3, 4)","['AL', 3.785079731675502]"
250,"(4, 0)","['AL', -0.025638738636299792]"
250,"(4, 1)","['AR', 0.10312101115605045]"
250,"(4, 2)","['AR', 1.6736648239426404]"
250,"(4, 3)","['AU', 4.5600602533145125]"
500,"(0, 0)","['AL', -0.007825662809093008]"
500,"(0, 1)","['AD', -0.17308031783680108]"
500,"(0, 2)","['AL', -0.20985962970918307]"
500,"(0, 3)","['AD', -0.10821875941384126]"
500,"(0, 4)","['AR', 0.028740817463136795]"
500,"(1, 0)","['AU', -0.2034452465859331]"
500,"(1, 1)","['AU', -0.41712795779333633]"
500,"(1, 2)","['AR', -0.26298756210500024]"
500,"(1, 3)","['AR', -0.09537291078391918]"
500,"(1, 4)","['AD', 0.7732769709366534]"
500,"(2, 0)","['AU', -0.013106748411315561]"
500,"(2, 4)","['AR', 1.981389604909053]"
500,"(3, 0)","['AU', -0.023975239210413196]"
500,"(3, 1)","['AL', -0.23845503550181835]"
500,"(3, 3)","['AR', 3.3233730304795674]"
500,"(3, 4)","['AL', 3.787534711773917]"
500,"(4, 0)","['AL', -0.0539176950058276]"
500,"(4, 1)","['AR', 0.11657504750192013]"
500,"(4, 2)","['AR', 1.697628844112558]"
500,"(4, 3)","['AU', 4.561214370428228]"
750,"(0, 0)","['AR', -0.011701694474629293]"
750,"(0, 1)","['AL', -0.17674792870453987]"
750,"(0, 2)","['AL', -0.2241864179860343]"
750,"(0, 3)","['AD', -0.12715970580007477]"
750,"(0, 4)","['AR', 0.03340003634755225]"
750,"(1, 0)","['AU', -0.206412683922101]"
750,"(1, 1)","['AL', -0.4195169524870535]"
750,"(1, 2)","['AR', -0.26015781195489995]"
750,"(1, 3)","['AR', -0.09464836879943989]"
750,"(1, 4)","['AD', 0.7759819002613408]"
750,"(2, 0)","['AU', -0.019864033210124733]"
750,"(2, 4)","['AR', 1.9787019882084842]"
750,"(3, 0)","['AU', -0.03300619217299324]"
750,"(3, 1)","['AL', -0.2601069541334838]"
750,"(3, 3)","['AR', 3.3326620104232307]"
750,"(3, 4)","['AL', 3.7882966193414966]"
750,"(4, 0)","['AL', -0.08926019304488675]"
750,"(4, 1)","['AR', 0.14522262955645335]"
750,"(4, 2)","['AR', 1.7223778224836301]"
750,"(4, 3)","['AU', 4.56378008536203]"
1000,"(0, 0)","['AL', -0.018836904650241522]"
1000,"(0, 1)","['AD', -0.18069835013582933]"
1000,"(0, 2)","['AD', -0.24457608897305538]"
1000,"(0, 3)","['AD', -0.14046679934254683]"
1000,"(0, 4)","['AR', 0.044863213588797184]"
1000,"(1, 0)","['AU', -0.20901868747970812]"
1000,"(1, 1)","['AL', -0.4215211278747182]"
1000,"(1, 2)","['AR', -0.2616905241087779]"
1000,"(1, 3)","['AR', -0.09379457299991716]"
1000,"(1, 4)","['AD', 0.7783194649997438]"
1000,"(2, 0)","['AU', -0.02832184606667124]"
1000,"(2, 4)","['AR', 1.9779679434247182]"
1000,"(3, 0)","['AU', -0.04374459156246398]"
1000,"(3, 1)","['AU', -0.2688043912772139]"
1000,"(3, 3)","['AR', 3.359125726740927]"
1000,"(3, 4)","['AL', 3.7908118040854375]"
1000,"(4, 0)","['AL', -0.11484725664722364]"
1000,"(4, 1)","['AR', 0.17795366147107736]"
1000,"(4, 2)","['AR', 1.7482904484743453]"
1000,"(4, 3)","['AU', 4.568536274075852]"
1250,"(0, 0)","['AL', -0.023878449365859568]"
1250,"(0, 1)","['AD', -0.18456834782128476]"
1250,"(0, 2)","['AL', -0.2617083025911735]"
1250,"(0, 3)","['AD', -0.16284582820992352]"
1250,"(0, 4)","['AR', 0.057902205515816554]"
1250,"(1, 0)","['AU', -0.21213627343871955]"
1250,"(1, 1)","['AL', -0.4245173811996544]"
1250,"(1, 2)","['AR', -0.2640827335399566]"
1250,"(1, 3)","['AR', -0.09380862564396174]"
1250,"(1, 4)","['AD', 0.7810217127107452]"
1250,"(2, 0)","['AU', -0.0354055041577935]"
1250,"(2, 4)","['AR', 1.9773057301870411]"
1250,"(3, 0)","['AU', -0.055232878776374325]"
1250,"(3, 1)","['AU', -0.3016972299472792]"
1250,"(3, 3)","['AR', 3.3735484715713233]"
1250,"(3, 4)","['AL', 3.8012842848743804]"
1250,"(4, 0)","['AL', -0.14674109894821652]"
1250,"(4, 1)","['AR', 0.2137238589030074]"
1250,"(4, 2)","['AR', 1.771021918507783]"
1250,"(4, 3)","['AU', 4.572007833526882]"
1500,"(0, 0)","['AL', -0.029777392094229024]"
1500,"(0, 1)","['AD', -0.18981011490445104]"
1500,"(0, 2)","['AL', -0.2801588974598489]"
1500,"(0, 3)","['AD', -0.17540827478328683]"
1500,"(0, 4)","['AR', 0.06409442175821851]"
1500,"(1, 0)","['AU', -0.21498263552467184]"
1500,"(1, 1)","['AL', -0.4266738485593155]"
1500,"(1, 2)","['AR', -0.25901573943322687]"
1500,"(1, 3)","['AR', -0.09423464252008192]"
1500,"(1, 4)","['AD', 0.785074718600092]"
1500,"(2, 0)","['AU', -0.04235268766630084]"
1500,"(2, 4)","['AR', 1.9772648801996202]"
1500,"(3, 0)","['AU', -0.06612030946860202]"
1500,"(3, 1)","['AL', -0.32611888588934995]"
1500,"(3, 3)","['AR', 3.386690950861017]"
1500,"(3, 4)","['AL', 3.802670865772992]"
1500,"(4, 0)","['AL', -0.17588684165453083]"
1500,"(4, 1)","['AR', 0.23331167195135583]"
1500,"(4, 2)","['AR', 1.794750909147822]"
1500,"(4, 3)","['AU', 4.575179039848973]"
1750,"(0, 0)","['AR', -0.03748697987829507]"
1750,"(0, 1)","['AD', -0.1952073299151655]"
1750,"(0, 2)","['AL', -0.29381935403536114]"
1750,"(0, 3)","['AD', -0.18983520694529601]"
1750,"(0, 4)","['AR', 0.07999319522378495]"
1750,"(1, 0)","['AU', -0.21699233961775846]"
1750,"(1, 1)","['AU', -0.4283791176014062]"
1750,"(1, 2)","['AR', -0.25885982629123483]"
1750,"(1, 3)","['AR', -0.09479372866345707]"
1750,"(1, 4)","['AD', 0.7871598404795103]"
1750,"(2, 0)","['AU', -0.05191096292356676]"
1750,"(2, 4)","['AR', 1.9797515087983888]"
1750,"(3, 0)","['AU', -0.07560866182669847]"
1750,"(3, 1)","['AL', -0.3483773488883573]"
1750,"(3, 3)","['AR', 3.4041774410894208]"
1750,"(3, 4)","['AL', 3.808868934954077]"
1750,"(4, 0)","['AL', -0.2014039652265308]"
1750,"(4, 1)","['AR', 0.2479222638487014]"
1750,"(4, 2)","['AR', 1.819586059636757]"
1750,"(4, 3)","['AU', 4.581190037477482]"
2000,"(0, 0)","['AL', -0.043440464998078]"
2000,"(0, 1)","['AD', -0.20046388989526082]"
2000,"(0, 2)","['AD', -0.3077627296457408]"
2000,"(0, 3)","['AD', -0.19954922993976398]"
2000,"(0, 4)","['AR', 0.08144946151895152]"
2000,"(1, 0)","['AU', -0.22019978082232192]"
2000,"(1, 1)","['AL', -0.4306172331305315]"
2000,"(1, 2)","['AR', -0.2621864710088207]"
2000,"(1, 3)","['AR', -0.09300326058133612]"
2000,"(1, 4)","['AD', 0.7921311103874463]"
2000,"(2, 0)","['AU', -0.06138781238445424]"
2000,"(2, 4)","['AR', 1.9805402493062663]"
2000,"(3, 0)","['AU', -0.08468807060499654]"
2000,"(3, 1)","['AU', -0.3631953116748789]"
2000,"(3, 3)","['AR', 3.4100458790026]"
2000,"(3, 4)","['AL', 3.8133930675989114]"
2000,"(4, 0)","['AL', -0.22531016691477482]"
2000,"(4, 1)","['AR', 0.2893592317878584]"
2000,"(4, 2)","['AR', 1.8446346524483639]"
2000,"(4, 3)","['AU', 4.590834235638535]"
2250,"(0, 0)","['AR', -0.04867714298076002]"
2250,"(0, 1)","['AD', -0.20542865248520037]"
2250,"(0, 2)","['AD', -0.3211062403421118]"
2250,"(0, 3)","['AD', -0.21799291189337644]"
2250,"(0, 4)","['AR', 0.07958121460041416]"
2250,"(1, 0)","['AU', -0.2243057415020459]"
2250,"(1, 1)","['AU', -0.43377138453047515]"
2250,"(1, 2)","['AR', -0.2600658745839809]"
2250,"(1, 3)","['AR', -0.09059650543029338]"
2250,"(1, 4)","['AD', 0.793839862766059]"
2250,"(2, 0)","['AU', -0.06644416650607497]"
2250,"(2, 4)","['AR', 1.9806976822083124]"
2250,"(3, 0)","['AU', -0.09404484869005976]"
2250,"(3, 1)","['AL', -0.3963436554851293]"
2250,"(3, 3)","['AR', 3.412667453800947]"
2250,"(3, 4)","['AL', 3.8193290148208394]"
2250,"(4, 0)","['AL', -0.2501431484808603]"
2250,"(4, 1)","['AR', 0.3131028371834164]"
2250,"(4, 2)","['AR', 1.8684618783164093]"
2250,"(4, 3)","['AU', 4.593446317263781]"
2500,"(0, 0)","['AR', -0.05586000189364759]"
2500,"(0, 1)","['AD', -0.21047480245043954]"
2500,"(0, 2)","['AL', -0.3349738196947502]"
2500,"(0, 3)","['AD', -0.2515250210104316]"
2500,"(0, 4)","['AR', 0.08911650030500386]"
2500,"(1, 0)","['AU', -0.22681207420325147]"
2500,"(1, 1)","['AU', -0.43608283977948753]"
2500,"(1, 2)","['AR', -0.25389571547044226]"
2500,"(1, 3)","['AR', -0.08922298222513382]"
2500,"(1, 4)","['AD', 0.7955842879750108]"
2500,"(2, 0)","['AU', -0.07220564780877967]"
2500,"(2, 4)","['AR', 1.9781806375174125]"
2500,"(3, 0)","['AU', -0.10345176713324461]"
2500,"(3, 1)","['AL', -0.42079961979417596]"
2500,"(3, 3)","['AR', 3.4014700612061572]"
2500,"(3, 4)","['AL', 3.825900247621539]"
2500,"(4, 0)","['AL', -0.2691230785400522]"
2500,"(4, 1)","['AR', 0.3530843013267398]"
2500,"(4, 2)","['AR', 1.8898510478447619]"
2500,"(4, 3)","['AU', 4.594889977436716]"
2750,"(0, 0)","['AL', -0.06190320520376161]"
2750,"(0, 1)","['AL', -0.21600224992696615]"
2750,"(0, 2)","['AL', -0.3496191933448965]"
2750,"(0, 3)","['AD', -0.26695371967897424]"
2750,"(0, 4)","['AR', 0.1055794375880532]"
2750,"(1, 0)","['AU', -0.22923369424964032]"
2750,"(1, 1)","['AU', -0.43887046844979044]"
2750,"(1, 2)","['AR', -0.2546303894701779]"
2750,"(1, 3)","['AR', -0.09007292299266442]"
2750,"(1, 4)","['AD', 0.7981321196578074]"
2750,"(2, 0)","['AU', -0.08086232659116768]"
2750,"(2, 4)","['AR', 1.9777453646544025]"
2750,"(3, 0)","['AU', -0.11374200586698513]"
2750,"(3, 1)","['AL', -0.4410044550862495]"
2750,"(3, 3)","['AR', 3.421200606651499]"
2750,"(3, 4)","['AL', 3.8335869368954762]"
2750,"(4, 0)","['AL', -0.2924328874939709]"
2750,"(4, 1)","['AR', 0.36841693205687165]"
2750,"(4, 2)","['AR', 1.9119887404125067]"
2750,"(4, 3)","['AU', 4.600524627101278]"
3000,"(0, 0)","['AR', -0.06939292763610728]"
3000,"(0, 1)","['AD', -0.2207662486526272]"
3000,"(0, 2)","['AL', -0.3642795297535522]"
3000,"(0, 3)","['AD', -0.27458927430008945]"
3000,"(0, 4)","['AR', 0.12415226723386083]"
3000,"(1, 0)","['AU', -0.23260550337303557]"
3000,"(1, 1)","['AL', -0.4411675488435999]"
3000,"(1, 2)","['AR', -0.25198562421430654]"
3000,"(1, 3)","['AR', -0.08964364985723608]"
3000,"(1, 4)","['AD', 0.801733924526803]"
3000,"(2, 0)","['AU', -0.08781227389668755]"
3000,"(2, 4)","['AR', 1.9774396214277818]"
3000,"(3, 0)","['AU', -0.12357524758590953]"
3000,"(3, 1)","['AL', -0.4643739110800837]"
3000,"(3, 3)","['AR', 3.4356150161540255]"
3000,"(3, 4)","['AL', 3.840204092024272]"
3000,"(4, 0)","['AL', -0.322478172106327]"
3000,"(4, 1)","['AR', 0.40104947994348444]"
3000,"(4, 2)","['AR', 1.9329510616889236]"
3000,"(4, 3)","['AU', 4.605223171785249]"
3250,"(0, 0)","['AR', -0.07457508064730288]"
3250,"(0, 1)","['AD', -0.22574491582610798]"
3250,"(0, 2)","['AL', -0.37543053201245835]"
3250,"(0, 3)","['AD', -0.3049909745681869]"
3250,"(0, 4)","['AR', 0.13275482895208626]"
3250,"(1, 0)","['AU', -0.23575088577418105]"
3250,"(1, 1)","['AL', -0.4433676954497452]"
3250,"(1, 2)","['AR', -0.2536364454037713]"
3250,"(1, 3)","['AR', -0.08992820096769402]"
3250,"(1, 4)","['AD', 0.807299469779128]"
3250,"(2, 0)","['AU', -0.09430355257025917]"
3250,"(2, 4)","['AR', 1.9770122002548758]"
3250,"(3, 0)","['AU', -0.13131018309527454]"
3250,"(3, 1)","['AL', -0.48230206557509586]"
3250,"(3, 3)","['AR', 3.4482589979593867]"
3250,"(3, 4)","['AL', 3.846944782225941]"
3250,"(4, 0)","['AL', -0.34848143193118236]"
3250,"(4, 1)","['AR', 0.4228502645233278]"
3250,"(4, 2)","['AR', 1.9514776473895623]"
3250,"(4, 3)","['AU', 4.614202101522228]"
3500,"(0, 0)","['AR', -0.08069788994010832]"
3500,"(0, 1)","['AD', -0.23060481496529187]"
3500,"(0, 2)","['AL', -0.3874164220084522]"
3500,"(0, 3)","['AD', -0.3293672740424521]"
3500,"(0, 4)","['AR', 0.14366260318245264]"
3500,"(1, 0)","['AU', -0.24023089565498662]"
3500,"(1, 1)","['AL', -0.44675934040065207]"
3500,"(1, 2)","['AR', -0.25310574595596336]"
3500,"(1, 3)","['AR', -0.08840595258309907]"
3500,"(1, 4)","['AD', 0.8108771682240077]"
3500,"(2, 0)","['AU', -0.1022645097774223]"
3500,"(2, 4)","['AR', 1.9767347879287132]"
3500,"(3, 0)","['AU', -0.1446717540559609]"
3500,"(3, 1)","['AL', -0.5006176398102546]"
3500,"(3, 3)","['AR', 3.46766658486841]"
3500,"(3, 4)","['AL', 3.8531671589842498]"
3500,"(4, 0)","['AL', -0.37852589814299675]"
3500,"(4, 1)","['AR', 0.4381551231243496]"
3500,"(4, 2)","['AR', 1.9775689830532075]"
