Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -2.966458870044358]"
250,"(0, 1)","['AL', -2.6418275615788547]"
250,"(0, 2)","['AL', -2.1806871927874005]"
250,"(0, 3)","['AD', -1.2693641275356058]"
250,"(0, 4)","['AR', 1.5848413977186728]"
250,"(1, 0)","['AU', -1.9758878583012145]"
250,"(1, 1)","['AL', -1.6771405137711268]"
250,"(1, 2)","['AR', 0.7322072465690707]"
250,"(1, 3)","['AR', 2.8182763743292036]"
250,"(1, 4)","['AD', 4.844571747078814]"
250,"(2, 0)","['AU', -1.8766678403569912]"
250,"(2, 4)","['AD', 5.605460664430654]"
250,"(3, 0)","['AU', -1.9019126834409892]"
250,"(3, 1)","['AL', -3.185278142635009]"
250,"(3, 3)","['AD', 8.6007387355417]"
250,"(3, 4)","['AR', 6.319782407547029]"
250,"(4, 0)","['AL', -1.1764004587812267]"
250,"(4, 1)","['AR', 4.6589398792912435]"
250,"(4, 2)","['AR', 9.260334807487938]"
250,"(4, 3)","['AR', 9.64675461924426]"
500,"(0, 0)","['AD', -3.1692358353829486]"
500,"(0, 1)","['AL', -2.5757585451630107]"
500,"(0, 2)","['AL', -2.1678391373361445]"
500,"(0, 3)","['AD', -2.0163396143807426]"
500,"(0, 4)","['AR', 1.7323573246239952]"
500,"(1, 0)","['AU', -1.9727257437909922]"
500,"(1, 1)","['AL', -1.6655717690878442]"
500,"(1, 2)","['AR', 0.8085558957673773]"
500,"(1, 3)","['AR', 2.803635211426022]"
500,"(1, 4)","['AD', 4.848207593551249]"
500,"(2, 0)","['AU', -1.3118343212076744]"
500,"(2, 4)","['AD', 5.602547569352348]"
500,"(3, 0)","['AU', -1.6445387429464755]"
500,"(3, 1)","['AL', -3.273426427803257]"
500,"(3, 3)","['AD', 8.61691327651851]"
500,"(3, 4)","['AR', 6.322764034275732]"
500,"(4, 0)","['AL', -1.1741014863181278]"
500,"(4, 1)","['AR', 4.773097644868927]"
500,"(4, 2)","['AR', 9.2560975246119]"
500,"(4, 3)","['AR', 9.646951396907165]"
750,"(0, 0)","['AU', -2.0530319077329136]"
750,"(0, 1)","['AL', -2.566085320530745]"
750,"(0, 2)","['AL', -2.219683858311328]"
750,"(0, 3)","['AD', -1.719151721400348]"
750,"(0, 4)","['AR', 1.9051000385973555]"
750,"(1, 0)","['AU', -1.9647066522740808]"
750,"(1, 1)","['AL', -1.6633849070710707]"
750,"(1, 2)","['AR', 0.9437826956473557]"
750,"(1, 3)","['AR', 2.805461033248353]"
750,"(1, 4)","['AD', 4.848313181611733]"
750,"(2, 0)","['AU', -1.2268667522075487]"
750,"(2, 4)","['AD', 5.603565098219204]"
750,"(3, 0)","['AU', -1.6447488697937536]"
750,"(3, 1)","['AL', -3.2856419897603444]"
750,"(3, 3)","['AD', 8.762847549614108]"
750,"(3, 4)","['AR', 6.326243891489474]"
750,"(4, 0)","['AL', -1.208045758037637]"
750,"(4, 1)","['AR', 4.894285099140407]"
750,"(4, 2)","['AR', 9.255753505943941]"
750,"(4, 3)","['AR', 9.645398751565791]"
1000,"(0, 0)","['AU', -1.9424182867220827]"
1000,"(0, 1)","['AL', -2.507677548262887]"
1000,"(0, 2)","['AL', -2.1294428718886533]"
1000,"(0, 3)","['AD', -1.5879044335576264]"
1000,"(0, 4)","['AR', 1.9691211640131685]"
1000,"(1, 0)","['AU', -1.9582546427714518]"
1000,"(1, 1)","['AL', -1.658206404564933]"
1000,"(1, 2)","['AR', 1.0156114701920282]"
1000,"(1, 3)","['AR', 2.8051603514218626]"
1000,"(1, 4)","['AD', 4.852501096396819]"
1000,"(2, 0)","['AU', -1.2278163562166144]"
1000,"(2, 4)","['AD', 5.609292640982312]"
1000,"(3, 0)","['AU', -1.5993033641302805]"
1000,"(3, 1)","['AL', -3.3802158183012234]"
1000,"(3, 3)","['AD', 8.807527818356766]"
1000,"(3, 4)","['AR', 6.33129330176982]"
