Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AU', -3.998622579450663]"
250,"(0, 1)","['AL', -2.73236945418259]"
250,"(0, 2)","['AL', -2.0621526658188656]"
250,"(0, 3)","['AL', -4.090693486568814]"
250,"(0, 4)","['AD', 5.696552040363327]"
250,"(1, 0)","['AU', -2.188859326568354]"
250,"(1, 1)","['AD', -0.9020754991739403]"
250,"(1, 2)","['AD', 1.8784600050716616]"
250,"(1, 3)","['AR', 5.871994849797468]"
250,"(1, 4)","['AD', 8.475027913758908]"
250,"(2, 0)","['AU', -1.1643401723497486]"
250,"(2, 4)","['AD', 9.29367594641038]"
250,"(3, 0)","['AL', -2.252231048700112]"
250,"(3, 1)","['AL', -1.8233109550357522]"
250,"(3, 3)","['AR', 8.634999577996302]"
250,"(3, 4)","['AD', 9.544118942443138]"
250,"(4, 0)","['AL', -0.76362470040463]"
250,"(4, 1)","['AR', 4.411391064818445]"
250,"(4, 2)","['AR', 8.558091463801574]"
250,"(4, 3)","['AU', 8.890241818992287]"
500,"(0, 0)","['AU', -2.9957689229456004]"
500,"(0, 1)","['AL', -2.728027536294935]"
500,"(0, 2)","['AL', -2.044670755182415]"
500,"(0, 3)","['AD', -3.3026867484788958]"
500,"(0, 4)","['AD', 5.785125149792386]"
500,"(1, 0)","['AU', -2.1627294489574673]"
500,"(1, 1)","['AD', -0.8882309996461409]"
500,"(1, 2)","['AD', 1.9013332766896638]"
500,"(1, 3)","['AR', 5.870075970272852]"
500,"(1, 4)","['AD', 8.472184858717398]"
500,"(2, 0)","['AU', -0.1375293477360106]"
500,"(2, 4)","['AD', 9.294631652670617]"
500,"(3, 0)","['AL', -1.5574936698705533]"
500,"(3, 1)","['AL', -1.5017066658546625]"
500,"(3, 3)","['AR', 8.64585216898823]"
500,"(3, 4)","['AD', 9.544415262561515]"
500,"(4, 0)","['AL', -0.723314177394465]"
500,"(4, 1)","['AR', 4.395710528375297]"
500,"(4, 2)","['AR', 8.547549140722756]"
500,"(4, 3)","['AU', 8.887307621500131]"
750,"(0, 0)","['AU', -2.96914011516465]"
750,"(0, 1)","['AL', -2.7305259009738565]"
750,"(0, 2)","['AL', -2.1442451052020295]"
750,"(0, 3)","['AD', -3.311754531447696]"
750,"(0, 4)","['AD', 5.884017616597642]"
750,"(1, 0)","['AU', -2.143886031713078]"
750,"(1, 1)","['AD', -0.8432564308930128]"
750,"(1, 2)","['AD', 1.9075637144273316]"
750,"(1, 3)","['AR', 5.86804698595967]"
750,"(1, 4)","['AD', 8.474632718546735]"
750,"(2, 0)","['AU', -0.07793972165452462]"
750,"(2, 4)","['AD', 9.297232390748583]"
750,"(3, 0)","['AL', -1.4090623883700562]"
750,"(3, 1)","['AL', -1.5524580955535754]"
750,"(3, 3)","['AR', 8.6670777992699]"
750,"(3, 4)","['AD', 9.545045912465286]"
750,"(4, 0)","['AL', -0.7080401796243722]"
750,"(4, 1)","['AR', 4.448318385850696]"
750,"(4, 2)","['AR', 8.541396389096429]"
750,"(4, 3)","['AU', 8.885594834819026]"
1000,"(0, 0)","['AR', -3.2113306476902035]"
1000,"(0, 1)","['AL', -2.7247044539307206]"
1000,"(0, 2)","['AL', -2.191529180191975]"
1000,"(0, 3)","['AD', -2.1209808963377403]"
1000,"(0, 4)","['AD', 5.952577907650865]"
1000,"(1, 0)","['AU', -2.116562814066077]"
1000,"(1, 1)","['AD', -0.8119077646088332]"
1000,"(1, 2)","['AD', 1.9257221768770045]"
1000,"(1, 3)","['AR', 5.881859949950319]"
1000,"(1, 4)","['AD', 8.47640511483727]"
1000,"(2, 0)","['AU', -0.07346504777694295]"
1000,"(2, 4)","['AD', 9.297532299461675]"
