Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -6.253618383711344]"
250,"(0, 1)","['AL', -7.197929864925055]"
250,"(0, 2)","['AL', -7.873419801071118]"
250,"(0, 3)","['AD', -9.92871465560685]"
250,"(0, 4)","['AD', -1.6853598768043665]"
250,"(1, 0)","['AU', -6.947634850966242]"
250,"(1, 1)","['AL', -7.140601280640414]"
250,"(1, 2)","['AL', -7.451186528694065]"
250,"(1, 3)","['AR', 0.1761926995782555]"
250,"(1, 4)","['AD', 5.40480243849332]"
250,"(2, 0)","['AU', -7.162413344710134]"
250,"(2, 4)","['AD', 7.985114269101474]"
250,"(3, 0)","['AL', -11.788751521459922]"
250,"(3, 1)","['AL', -10.638383495156164]"
250,"(3, 3)","['AD', 5.508748617026321]"
250,"(3, 4)","['AD', 8.91986003024307]"
250,"(4, 0)","['AL', -13.067937071910583]"
250,"(4, 1)","['AU', -10.913812728846374]"
250,"(4, 2)","['AR', 6.77858236069521]"
250,"(4, 3)","['AR', 8.95108426076238]"
500,"(0, 0)","['AD', -7.051747910946371]"
500,"(0, 1)","['AL', -7.151504326017271]"
500,"(0, 2)","['AL', -7.995638749540564]"
500,"(0, 3)","['AD', -7.202249172960912]"
500,"(0, 4)","['AD', -1.223414877512301]"
500,"(1, 0)","['AU', -6.943798377936597]"
500,"(1, 1)","['AL', -7.132605557119168]"
500,"(1, 2)","['AL', -7.491155422308753]"
500,"(1, 3)","['AR', 0.1555579493184746]"
500,"(1, 4)","['AD', 5.389967813313086]"
500,"(2, 0)","['AU', -7.167484331967914]"
500,"(2, 4)","['AD', 7.98616975339455]"
500,"(3, 0)","['AL', -11.405083373842244]"
500,"(3, 1)","['AL', -10.547647249382056]"
500,"(3, 3)","['AD', 5.6122118036288615]"
500,"(3, 4)","['AD', 8.917511646414434]"
500,"(4, 0)","['AL', -12.548917879096788]"
500,"(4, 1)","['AU', -10.64556756110658]"
500,"(4, 2)","['AR', 6.806473481396532]"
500,"(4, 3)","['AR', 8.945184294067918]"
750,"(0, 0)","['AD', -7.104669119868101]"
750,"(0, 1)","['AL', -7.187265265078564]"
750,"(0, 2)","['AL', -7.987560999642424]"
750,"(0, 3)","['AD', -5.612107029458803]"
750,"(0, 4)","['AD', -0.8994662376037008]"
750,"(1, 0)","['AU', -6.9398050055293465]"
750,"(1, 1)","['AL', -7.128106923877906]"
750,"(1, 2)","['AL', -7.464816347514224]"
750,"(1, 3)","['AR', 0.10018422256338566]"
750,"(1, 4)","['AD', 5.398563232116974]"
750,"(2, 0)","['AU', -7.216417376433076]"
750,"(2, 4)","['AD', 7.989607743659342]"
750,"(3, 0)","['AU', -9.188277410867842]"
750,"(3, 1)","['AL', -10.420806829008407]"
750,"(3, 3)","['AD', 5.750420685146078]"
750,"(3, 4)","['AD', 8.920610034825856]"
750,"(4, 0)","['AL', -11.485856901261977]"
750,"(4, 1)","['AU', -10.60190491567269]"
750,"(4, 2)","['AR', 6.891820666364375]"
750,"(4, 3)","['AR', 8.941929126713502]"
1000,"(0, 0)","['AD', -7.101168195390799]"
1000,"(0, 1)","['AL', -7.170884420335441]"
1000,"(0, 2)","['AL', -7.754409581221153]"
1000,"(0, 3)","['AD', -4.877013867861637]"
1000,"(0, 4)","['AD', -0.8113311173283443]"
1000,"(1, 0)","['AU', -6.939208306374864]"
1000,"(1, 1)","['AL', -7.134701005788897]"
1000,"(1, 2)","['AL', -7.511039050596622]"
1000,"(1, 3)","['AR', 0.0980555169413528]"
1000,"(1, 4)","['AD', 5.401868462019998]"
1000,"(2, 0)","['AU', -7.224239721822658]"
1000,"(2, 4)","['AD', 7.995365752867223]"
1000,"(3, 0)","['AU', -8.624863363590785]"
1000,"(3, 1)","['AL', -10.288303220151178]"
1000,"(3, 3)","['AD', 5.872330198378523]"
1000,"(3, 4)","['AD', 8.923555823602683]"
1000,"(4, 0)","['AL', -10.952424412322848]"
1000,"(4, 1)","['AU', -10.470104870983993]"
1000,"(4, 2)","['AR', 7.061154976704047]"
1000,"(4, 3)","['AR', 8.946793830439441]"
1250,"(0, 0)","['AL', -7.062317945788138]"
1250,"(0, 1)","['AL', -7.166191430298566]"
1250,"(0, 2)","['AL', -7.79948377577831]"
1250,"(0, 3)","['AD', -4.341018144360735]"
1250,"(0, 4)","['AD', -0.5641781968978605]"
1250,"(1, 0)","['AU', -6.95332884014198]"
1250,"(1, 1)","['AL', -7.138852814417994]"
1250,"(1, 2)","['AL', -7.480598105209618]"
