Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AL', -0.0018239862360874182]"
250,"(0, 1)","['AL', -0.31925193384026035]"
250,"(0, 2)","['AL', -0.19216038818812736]"
250,"(0, 3)","['AD', -0.16017552988921221]"
250,"(0, 4)","['AD', -0.49077635168709943]"
250,"(1, 0)","['AU', -1.1016380107195423]"
250,"(1, 1)","['AL', -1.3424475403324698]"
250,"(1, 2)","['AL', -1.0564979394684546]"
250,"(1, 3)","['AR', -0.7408717785705105]"
250,"(1, 4)","['AD', 0.8003885172579821]"
250,"(2, 0)","['AU', -0.19480688287057663]"
250,"(2, 4)","['AD', 1.6961972868334203]"
250,"(3, 0)","['AU', -0.04524869996451554]"
250,"(3, 1)","['AL', -0.7530209246652441]"
250,"(3, 3)","['AR', 0.591653703623123]"
250,"(3, 4)","['AR', 4.302796661430655]"
250,"(4, 0)","['AL', -0.35231325855043866]"
250,"(4, 1)","['AU', -1.5343578722512443]"
250,"(4, 2)","['AR', 0.8344147063030036]"
250,"(4, 3)","['AR', 2.2316715913374896]"
500,"(0, 0)","['AL', -0.0050876495861468295]"
500,"(0, 1)","['AL', -0.3720455059798147]"
500,"(0, 2)","['AL', -0.3101340262653285]"
500,"(0, 3)","['AD', -0.27916323558570405]"
500,"(0, 4)","['AD', -0.4975103960447317]"
500,"(1, 0)","['AU', -1.1131125260449084]"
500,"(1, 1)","['AL', -1.3754338505590242]"
500,"(1, 2)","['AL', -1.181558946649827]"
500,"(1, 3)","['AR', -0.761365717284496]"
500,"(1, 4)","['AD', 0.8009303279382634]"
500,"(2, 0)","['AU', -0.22998998996768477]"
500,"(2, 4)","['AD', 1.6992421658210322]"
500,"(3, 0)","['AU', -0.10204696322204161]"
500,"(3, 1)","['AL', -0.860737857400984]"
500,"(3, 3)","['AR', 1.443419018366342]"
500,"(3, 4)","['AR', 4.302770177670514]"
500,"(4, 0)","['AL', -0.5505672092703242]"
500,"(4, 1)","['AU', -1.682265758272952]"
500,"(4, 2)","['AR', 0.9536586786112617]"
500,"(4, 3)","['AR', 2.2602182749069395]"
750,"(0, 0)","['AL', -0.009019976184634126]"
750,"(0, 1)","['AL', -0.4230806088610002]"
750,"(0, 2)","['AL', -0.4257014079767281]"
750,"(0, 3)","['AD', -0.3783792059894501]"
750,"(0, 4)","['AD', -0.5240826280331451]"
750,"(1, 0)","['AU', -1.126308390138166]"
750,"(1, 1)","['AL', -1.4093051718874203]"
750,"(1, 2)","['AL', -1.285062066371956]"
750,"(1, 3)","['AR', -0.7736864118231301]"
750,"(1, 4)","['AD', 0.8039819986163435]"
750,"(2, 0)","['AU', -0.26120313371305165]"
750,"(2, 4)","['AD', 1.706261097132822]"
750,"(3, 0)","['AU', -0.1659722583125661]"
750,"(3, 1)","['AL', -0.9838777186139601]"
750,"(3, 3)","['AR', 1.9437705299536738]"
750,"(3, 4)","['AR', 4.301684265766793]"
750,"(4, 0)","['AL', -0.7555591741107097]"
750,"(4, 1)","['AU', -1.7977534757496938]"
750,"(4, 2)","['AR', 1.0831884497521245]"
750,"(4, 3)","['AR', 2.294118087032655]"
1000,"(0, 0)","['AL', -0.0158670804651353]"
1000,"(0, 1)","['AL', -0.467328656730968]"
1000,"(0, 2)","['AL', -0.5519880980557678]"
1000,"(0, 3)","['AD', -0.46201889251981804]"
1000,"(0, 4)","['AD', -0.5170790726442462]"
1000,"(1, 0)","['AU', -1.1376086865182249]"
1000,"(1, 1)","['AL', -1.441896843233073]"
1000,"(1, 2)","['AL', -1.3994692886382443]"
1000,"(1, 3)","['AR', -0.786125507777593]"
1000,"(1, 4)","['AD', 0.8013280084326161]"
1000,"(2, 0)","['AU', -0.3075280525019506]"
1000,"(2, 4)","['AD', 1.7101239794456329]"
1000,"(3, 0)","['AU', -0.21303756379731772]"
1000,"(3, 1)","['AL', -1.07415952705949]"
1000,"(3, 3)","['AR', 2.4575983277773523]"
1000,"(3, 4)","['AR', 4.303243164881714]"
1000,"(4, 0)","['AL', -0.9116113106679773]"
1000,"(4, 1)","['AU', -1.9126880657810106]"
1000,"(4, 2)","['AR', 1.2140335369974615]"
1000,"(4, 3)","['AR', 2.327476561085106]"
1250,"(0, 0)","['AL', -0.025106911241389345]"
1250,"(0, 1)","['AL', -0.519252082814901]"
1250,"(0, 2)","['AL', -0.6742669471509302]"
1250,"(0, 3)","['AD', -0.5231885968043253]"
1250,"(0, 4)","['AD', -0.5208147684325938]"
1250,"(1, 0)","['AU', -1.150563726210873]"
1250,"(1, 1)","['AL', -1.4779435455318095]"
1250,"(1, 2)","['AL', -1.4905788479373026]"
1250,"(1, 3)","['AR', -0.7908779099045068]"
1250,"(1, 4)","['AD', 0.8098546806714413]"
1250,"(2, 0)","['AU', -0.34797369843420617]"
1250,"(2, 4)","['AD', 1.7133893858095408]"
1250,"(3, 0)","['AU', -0.25888089664329617]"
1250,"(3, 1)","['AL', -1.1805215244197738]"
1250,"(3, 3)","['AR', 2.8083351285480447]"
1250,"(3, 4)","['AR', 4.302771401635584]"
1250,"(4, 0)","['AL', -1.0829212325907749]"
1250,"(4, 1)","['AU', -2.010521873073687]"
1250,"(4, 2)","['AR', 1.3330912212240509]"
1250,"(4, 3)","['AR', 2.3596826056901494]"
1500,"(0, 0)","['AL', -0.036905003890038306]"
1500,"(0, 1)","['AL', -0.5652792571116011]"
1500,"(0, 2)","['AL', -0.773911525780083]"
1500,"(0, 3)","['AD', -0.5969667303403887]"
1500,"(0, 4)","['AD', -0.4993184828030915]"
1500,"(1, 0)","['AU', -1.1664566101254896]"
1500,"(1, 1)","['AL', -1.5164694734769335]"
1500,"(1, 2)","['AL', -1.5939832468805362]"
1500,"(1, 3)","['AR', -0.800139044162958]"
1500,"(1, 4)","['AD', 0.8188121705475959]"
1500,"(2, 0)","['AU', -0.3879327064086385]"
1500,"(2, 4)","['AD', 1.720688979973105]"
1500,"(3, 0)","['AU', -0.31132194642722355]"
1500,"(3, 1)","['AL', -1.2578113613605388]"
1500,"(3, 3)","['AR', 3.096027877906319]"
1500,"(3, 4)","['AR', 4.299551272028554]"
1500,"(4, 0)","['AL', -1.2635255490277533]"
1500,"(4, 1)","['AU', -2.126114926168694]"
1500,"(4, 2)","['AR', 1.4444571560062898]"
1500,"(4, 3)","['AR', 2.3917763594667334]"
1750,"(0, 0)","['AL', -0.0500749111613774]"
1750,"(0, 1)","['AL', -0.608450503113373]"
1750,"(0, 2)","['AL', -0.8876840480428824]"
1750,"(0, 3)","['AD', -0.6719930640882827]"
1750,"(0, 4)","['AD', -0.4847438558934422]"
