Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AL', -0.0018035331048571468]"
250,"(0, 1)","['AL', -0.20658147496328294]"
250,"(0, 2)","['AL', -0.11018456556331159]"
250,"(0, 3)","['AD', -0.0840400844392535]"
250,"(0, 4)","['AD', -0.03500793948021927]"
250,"(1, 0)","['AU', -0.6865178692222159]"
250,"(1, 1)","['AL', -0.8330878835308068]"
250,"(1, 2)","['AL', -0.566867814442418]"
250,"(1, 3)","['AR', 0.1343146358783759]"
250,"(1, 4)","['AD', 1.4107309516658164]"
250,"(2, 0)","['AU', -0.08587120975068786]"
250,"(2, 4)","['AD', 1.7475449841232849]"
250,"(3, 0)","['AU', -0.020499282350002243]"
250,"(3, 1)","['AL', -0.3797381401557074]"
250,"(3, 3)","['AU', 2.894391874589552]"
250,"(3, 4)","['AD', 4.101321839073836]"
250,"(4, 0)","['AL', -0.1674131480748624]"
250,"(4, 1)","['AU', -0.8646214539585139]"
250,"(4, 2)","['AR', 0.4619113066669738]"
250,"(4, 3)","['AR', 1.41335575424103]"
500,"(0, 0)","['AL', -0.007291016572324324]"
500,"(0, 1)","['AL', -0.23434620759027525]"
500,"(0, 2)","['AL', -0.179681203536029]"
500,"(0, 3)","['AD', -0.1297445019030921]"
500,"(0, 4)","['AD', -0.0392876227167691]"
500,"(1, 0)","['AU', -0.6940912153701162]"
500,"(1, 1)","['AL', -0.8543211608218697]"
500,"(1, 2)","['AL', -0.6342047694448867]"
500,"(1, 3)","['AR', 0.12325013910750394]"
500,"(1, 4)","['AD', 1.4162450955010646]"
500,"(2, 0)","['AU', -0.1043838339348211]"
500,"(2, 4)","['AD', 1.757728391329137]"
500,"(3, 0)","['AU', -0.048878610553296634]"
500,"(3, 1)","['AL', -0.4437643133006895]"
500,"(3, 3)","['AU', 2.976243008202985]"
500,"(3, 4)","['AD', 4.111897746357826]"
500,"(4, 0)","['AL', -0.2711266913274482]"
500,"(4, 1)","['AU', -0.9443178945834957]"
500,"(4, 2)","['AR', 0.5429185564640882]"
500,"(4, 3)","['AR', 1.436963882938349]"
750,"(0, 0)","['AL', -0.015332350028084054]"
750,"(0, 1)","['AL', -0.25724467986040234]"
750,"(0, 2)","['AL', -0.2539957593232208]"
750,"(0, 3)","['AD', -0.15455914030380755]"
750,"(0, 4)","['AD', -0.03127087273264883]"
750,"(1, 0)","['AU', -0.702520915121327]"
750,"(1, 1)","['AL', -0.8742151107956995]"
750,"(1, 2)","['AL', -0.6988349013739459]"
750,"(1, 3)","['AR', 0.12191306198593363]"
750,"(1, 4)","['AD', 1.4242533114106586]"
750,"(2, 0)","['AU', -0.12337570087812623]"
750,"(2, 4)","['AD', 1.767881880572835]"
750,"(3, 0)","['AU', -0.07185216370414621]"
750,"(3, 1)","['AL', -0.5096640051425773]"
750,"(3, 3)","['AU', 3.18635647830251]"
750,"(3, 4)","['AD', 4.123881624061575]"
750,"(4, 0)","['AL', -0.3864467680907172]"
750,"(4, 1)","['AU', -1.0267869707607782]"
750,"(4, 2)","['AR', 0.6153101132600306]"
750,"(4, 3)","['AR', 1.4602660703888743]"
1000,"(0, 0)","['AL', -0.02374831845769409]"
1000,"(0, 1)","['AL', -0.28359293373289374]"
1000,"(0, 2)","['AL', -0.31316543030761324]"
1000,"(0, 3)","['AD', -0.16191743468743364]"
1000,"(0, 4)","['AD', -0.005534306298676997]"
1000,"(1, 0)","['AU', -0.710854193936973]"
1000,"(1, 1)","['AL', -0.8961994752423201]"
1000,"(1, 2)","['AL', -0.7606301842312856]"
1000,"(1, 3)","['AR', 0.1242220983529262]"
1000,"(1, 4)","['AD', 1.4330754506698298]"
1000,"(2, 0)","['AU', -0.14216521653488545]"
1000,"(2, 4)","['AD', 1.7782733197109373]"
1000,"(3, 0)","['AU', -0.09692242367246]"
1000,"(3, 1)","['AL', -0.565300212424725]"
1000,"(3, 3)","['AU', 3.394363463411098]"
1000,"(3, 4)","['AD', 4.134727242944511]"
1000,"(4, 0)","['AL', -0.509051015693894]"
1000,"(4, 1)","['AU', -1.0983543517904744]"
1000,"(4, 2)","['AR', 0.6881612397749315]"
1000,"(4, 3)","['AR', 1.4855497981309733]"
1250,"(0, 0)","['AL', -0.031771613230417446]"
1250,"(0, 1)","['AL', -0.31024601793483525]"
1250,"(0, 2)","['AL', -0.37629742429260027]"
1250,"(0, 3)","['AD', -0.16877912214962415]"
1250,"(0, 4)","['AD', 0.017477463666295184]"
1250,"(1, 0)","['AU', -0.7190925834710518]"
1250,"(1, 1)","['AL', -0.9150530774961347]"
1250,"(1, 2)","['AL', -0.8236255967777858]"
1250,"(1, 3)","['AR', 0.13084521819836784]"
1250,"(1, 4)","['AD', 1.4413277824593547]"
1250,"(2, 0)","['AU', -0.16128632019278744]"
1250,"(2, 4)","['AD', 1.7894822249892908]"
1250,"(3, 0)","['AU', -0.12478592517401217]"
1250,"(3, 1)","['AL', -0.6181934498616214]"
1250,"(3, 3)","['AU', 3.5953712997499045]"
1250,"(3, 4)","['AD', 4.146201769467668]"
1250,"(4, 0)","['AL', -0.5954703152876568]"
1250,"(4, 1)","['AU', -1.1576059078404204]"
1250,"(4, 2)","['AR', 0.7537666058038958]"
1250,"(4, 3)","['AR', 1.5122315193096092]"
1500,"(0, 0)","['AL', -0.04135904046283596]"
1500,"(0, 1)","['AL', -0.33458545342292134]"
1500,"(0, 2)","['AL', -0.44098287700325844]"
1500,"(0, 3)","['AD', -0.17549662071058492]"
1500,"(0, 4)","['AD', 0.03536981927276372]"
1500,"(1, 0)","['AU', -0.7278270668425787]"
1500,"(1, 1)","['AL', -0.9395053916429204]"
1500,"(1, 2)","['AL', -0.8888014777140366]"
1500,"(1, 3)","['AR', 0.13874415567646944]"
1500,"(1, 4)","['AD', 1.4534303293883595]"
1500,"(2, 0)","['AU', -0.18312442648765587]"
1500,"(2, 4)","['AD', 1.800621118412006]"
1500,"(3, 0)","['AU', -0.15059806391641808]"
1500,"(3, 1)","['AL', -0.6704799110193917]"
1500,"(3, 3)","['AU', 3.7014922427707218]"
1500,"(3, 4)","['AD', 4.157463147763604]"
1500,"(4, 0)","['AL', -0.6784289233456955]"
1500,"(4, 1)","['AU', -1.2331064101904452]"
1500,"(4, 2)","['AR', 0.829994645637304]"
1500,"(4, 3)","['AR', 1.5385795836850986]"
1750,"(0, 0)","['AL', -0.05204508284120949]"
1750,"(0, 1)","['AL', -0.35987952440836724]"
1750,"(0, 2)","['AL', -0.4992981724806686]"
1750,"(0, 3)","['AD', -0.19293622715005967]"
1750,"(0, 4)","['AD', 0.06051894321751641]"
1750,"(1, 0)","['AU', -0.7369480048452142]"
1750,"(1, 1)","['AL', -0.9587502382098809]"
1750,"(1, 2)","['AL', -0.9449552168156647]"
1750,"(1, 3)","['AR', 0.14283402551282892]"
1750,"(1, 4)","['AD', 1.4630813956636926]"
1750,"(2, 0)","['AU', -0.20380197307406978]"
1750,"(2, 4)","['AD', 1.8112455509577692]"
1750,"(3, 0)","['AU', -0.17383181873064454]"
1750,"(3, 1)","['AL', -0.725220942052232]"
1750,"(3, 3)","['AU', 3.8725955997635033]"
1750,"(3, 4)","['AD', 4.169444953162144]"
1750,"(4, 0)","['AL', -0.7697426263267992]"
1750,"(4, 1)","['AU', -1.308552501923088]"
1750,"(4, 2)","['AR', 0.9090420378975014]"
1750,"(4, 3)","['AR', 1.5654209985356553]"
