Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AL', -0.00328299034615991]"
250,"(0, 1)","['AL', -0.16828056256179902]"
250,"(0, 2)","['AL', -0.06281197792734593]"
250,"(0, 3)","['AD', -0.048939820221382234]"
250,"(0, 4)","['AD', -0.016527004793621517]"
250,"(1, 0)","['AU', -0.5000816492887732]"
250,"(1, 1)","['AL', -0.6054675148730896]"
250,"(1, 2)","['AL', -0.40488917309830924]"
250,"(1, 3)","['AR', 0.0899780080987298]"
250,"(1, 4)","['AD', 1.0987208608698724]"
250,"(2, 0)","['AU', -0.060436965730985455]"
250,"(2, 4)","['AD', 1.3972311739273484]"
250,"(3, 0)","['AU', -0.01652062723149424]"
250,"(3, 1)","['AL', -0.26201276653933964]"
250,"(3, 3)","['AR', 1.6551578110917957]"
250,"(3, 4)","['AD', 2.794673864747528]"
250,"(4, 0)","['AL', -0.11705314131854214]"
250,"(4, 1)","['AU', -0.6365354120529716]"
250,"(4, 2)","['AR', 0.1425934087587006]"
250,"(4, 3)","['AU', 6.0533497239150345]"
500,"(0, 0)","['AL', -0.008562061570008106]"
500,"(0, 1)","['AL', -0.18496489854600442]"
500,"(0, 2)","['AL', -0.11160901953733265]"
500,"(0, 3)","['AD', -0.07413690358895389]"
500,"(0, 4)","['AD', -0.01932917936884]"
500,"(1, 0)","['AU', -0.5049748701838609]"
500,"(1, 1)","['AL', -0.620975794615298]"
500,"(1, 2)","['AL', -0.45201325335942716]"
500,"(1, 3)","['AR', 0.08415662533910233]"
500,"(1, 4)","['AD', 1.1064572433606423]"
500,"(2, 0)","['AU', -0.0718992136671507]"
500,"(2, 4)","['AD', 1.406725048335437]"
500,"(3, 0)","['AU', -0.03204629478218926]"
500,"(3, 1)","['AL', -0.30290797014560283]"
500,"(3, 3)","['AR', 1.7296646112528093]"
500,"(3, 4)","['AD', 2.8037776606678353]"
500,"(4, 0)","['AL', -0.1932736982063481]"
500,"(4, 1)","['AU', -0.7098103222907313]"
500,"(4, 2)","['AR', 0.17867186852736186]"
