Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AL', -0.002141783541389004]"
250,"(0, 1)","['AL', -0.26422628282127514]"
250,"(0, 2)","['AL', -0.1104150712470524]"
250,"(0, 3)","['AL', -0.1515485144158576]"
250,"(0, 4)","['AD', -0.1319480952024206]"
250,"(1, 0)","['AU', -1.1518623385792524]"
250,"(1, 1)","['AL', -1.4634219497513798]"
250,"(1, 2)","['AL', -1.4955970752262393]"
250,"(1, 3)","['AR', -0.9353083018311656]"
250,"(1, 4)","['AD', 0.8034673781165809]"
250,"(2, 0)","['AU', -0.6132311896882059]"
250,"(2, 4)","['AD', 1.6975255708690886]"
250,"(3, 0)","['AU', -0.057592297558588634]"
250,"(3, 1)","['AL', -1.044329629633231]"
250,"(3, 3)","['AU', 0.18805193772527376]"
250,"(3, 4)","['AR', 4.175883307932731]"
250,"(4, 0)","['AU', -0.2681025871855423]"
250,"(4, 1)","['AR', -0.8459684735406219]"
250,"(4, 2)","['AR', 0.6175175714266279]"
250,"(4, 3)","['AU', 2.6367427036570357]"
500,"(0, 0)","['AL', -0.005409180723801037]"
500,"(0, 1)","['AL', -0.30406725757001535]"
500,"(0, 2)","['AL', -0.18827933832391433]"
500,"(0, 3)","['AL', -0.31643652137708367]"
500,"(0, 4)","['AD', -0.21465741070686334]"
500,"(1, 0)","['AU', -1.1631600028332463]"
500,"(1, 1)","['AL', -1.4916427350258334]"
500,"(1, 2)","['AL', -1.590315714704195]"
500,"(1, 3)","['AR', -0.9653850375074698]"
500,"(1, 4)","['AD', 0.8005881444288765]"
500,"(2, 0)","['AU', -0.6431327418590098]"
500,"(2, 4)","['AD', 1.7051151631096837]"
500,"(3, 0)","['AU', -0.1198758341079278]"
500,"(3, 1)","['AL', -1.175844005876909]"
500,"(3, 3)","['AU', 0.06735998489148498]"
500,"(3, 4)","['AR', 4.176474940667525]"
500,"(4, 0)","['AU', -0.5162858110103077]"
500,"(4, 1)","['AR', -0.8838915526987131]"
500,"(4, 2)","['AR', 0.6272014091469719]"
500,"(4, 3)","['AU', 2.6440275537346607]"
750,"(0, 0)","['AL', -0.00916654851882291]"
750,"(0, 1)","['AL', -0.3422695931602044]"
750,"(0, 2)","['AL', -0.25849813655687504]"
750,"(0, 3)","['AL', -0.4843528619894112]"
750,"(0, 4)","['AD', -0.27635953427501475]"
750,"(1, 0)","['AU', -1.1750937871330904]"
750,"(1, 1)","['AL', -1.5244987143435407]"
750,"(1, 2)","['AL', -1.6863223819200526]"
750,"(1, 3)","['AR', -0.9836764553483206]"
750,"(1, 4)","['AD', 0.7951921514540344]"
750,"(2, 0)","['AU', -0.6770733486731452]"
750,"(2, 4)","['AD', 1.7134825477230293]"
750,"(3, 0)","['AU', -0.18815494588003248]"
750,"(3, 1)","['AL', -1.3220845905310792]"
750,"(3, 3)","['AR', 0.08889815906677559]"
750,"(3, 4)","['AR', 4.169070782383162]"
750,"(4, 0)","['AU', -0.7211832056747222]"
750,"(4, 1)","['AR', -0.9091638002825577]"
750,"(4, 2)","['AR', 0.6217505518330021]"
750,"(4, 3)","['AU', 2.6282451731813916]"
1000,"(0, 0)","['AL', -0.014311091597460563]"
1000,"(0, 1)","['AL', -0.37919876482060355]"
1000,"(0, 2)","['AL', -0.32769136810576155]"
1000,"(0, 3)","['AL', -0.6487869816977586]"
1000,"(0, 4)","['AD', -0.3008105055713548]"
1000,"(1, 0)","['AU', -1.1885098215201437]"
1000,"(1, 1)","['AL', -1.5534984553862758]"
1000,"(1, 2)","['AL', -1.763562553858449]"
1000,"(1, 3)","['AR', -1.0229402334261495]"
1000,"(1, 4)","['AD', 0.7957391614646189]"
1000,"(2, 0)","['AU', -0.7155491424010282]"
1000,"(2, 4)","['AD', 1.721146734817161]"
1000,"(3, 0)","['AU', -0.2613863310177658]"
1000,"(3, 1)","['AL', -1.4469462166284495]"
1000,"(3, 3)","['AU', 0.5791861340279151]"
1000,"(3, 4)","['AR', 4.166285101281264]"
1000,"(4, 0)","['AU', -0.8939229972364119]"
1000,"(4, 1)","['AR', -0.9420535252202541]"
1000,"(4, 2)","['AR', 0.6376625867173707]"
1000,"(4, 3)","['AU', 2.631857788181265]"
1250,"(0, 0)","['AL', -0.021216979701514177]"
1250,"(0, 1)","['AL', -0.4175343164893835]"
1250,"(0, 2)","['AL', -0.3939592472735079]"
1250,"(0, 3)","['AL', -0.7951754461910896]"
1250,"(0, 4)","['AD', -0.3296428374558755]"
1250,"(1, 0)","['AU', -1.201587283762342]"
1250,"(1, 1)","['AL', -1.5853852413192355]"
1250,"(1, 2)","['AL', -1.8416002856756841]"
1250,"(1, 3)","['AR', -1.0351574989167134]"
1250,"(1, 4)","['AD', 0.8043183556764294]"
1250,"(2, 0)","['AU', -0.746224734142139]"
1250,"(2, 4)","['AD', 1.7271312559503105]"
1250,"(3, 0)","['AU', -0.32843115255921557]"
1250,"(3, 1)","['AL', -1.5407756045533512]"
1250,"(3, 3)","['AU', 1.0010516128435387]"
1250,"(3, 4)","['AR', 4.167111922688847]"
1250,"(4, 0)","['AU', -1.047764028689727]"
1250,"(4, 1)","['AR', -0.9401557952282181]"
1250,"(4, 2)","['AR', 0.63887471408608]"
1250,"(4, 3)","['AU', 2.6302068142541772]"
1500,"(0, 0)","['AL', -0.028195211732818717]"
1500,"(0, 1)","['AL', -0.453331208272039]"
1500,"(0, 2)","['AL', -0.46679440582699117]"
1500,"(0, 3)","['AL', -0.9382464240469306]"
1500,"(0, 4)","['AD', -0.33408145739403583]"
1500,"(1, 0)","['AU', -1.217163789270325]"
1500,"(1, 1)","['AL', -1.614436002029401]"
1500,"(1, 2)","['AL', -1.919501436844281]"
1500,"(1, 3)","['AR', -1.0358944639756127]"
1500,"(1, 4)","['AD', 0.8105866184296836]"
1500,"(2, 0)","['AU', -0.7850229360857675]"
1500,"(2, 4)","['AD', 1.736727921462421]"
1500,"(3, 0)","['AU', -0.39064718976086305]"
1500,"(3, 1)","['AL', -1.6324570958526536]"
1500,"(3, 3)","['AU', 1.562072589128378]"
1500,"(3, 4)","['AR', 4.170367561083159]"
1500,"(4, 0)","['AU', -1.2030911917373461]"
1500,"(4, 1)","['AR', -0.9749853437530649]"
1500,"(4, 2)","['AR', 0.6486991807587182]"
1500,"(4, 3)","['AU', 2.6311536006313974]"
1750,"(0, 0)","['AL', -0.037889894525310344]"
1750,"(0, 1)","['AL', -0.48855421030268237]"
1750,"(0, 2)","['AL', -0.5325097331783756]"
1750,"(0, 3)","['AL', -1.0586068637494903]"
1750,"(0, 4)","['AD', -0.35736539430481673]"
1750,"(1, 0)","['AU', -1.2295307669541575]"
1750,"(1, 1)","['AL', -1.6433626379317838]"
1750,"(1, 2)","['AL', -2.0188426559075747]"
1750,"(1, 3)","['AR', -1.0475463964063674]"
1750,"(1, 4)","['AD', 0.8250953271906244]"
1750,"(2, 0)","['AU', -0.8173272683735623]"
1750,"(2, 4)","['AD', 1.7453068946081451]"
1750,"(3, 0)","['AU', -0.45124067912493265]"
