Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AL', -5.929329054942788]"
250,"(0, 1)","['AL', -7.384968947879374]"
250,"(0, 2)","['AL', -8.126693978556705]"
250,"(0, 3)","['AL', -10.31419713117642]"
250,"(0, 4)","['AD', -2.5483107369284026]"
250,"(1, 0)","['AL', -7.134435649672963]"
250,"(1, 1)","['AL', -7.384388101846412]"
250,"(1, 2)","['AL', -7.750954809611365]"
250,"(1, 3)","['AR', -2.09886506115752]"
250,"(1, 4)","['AD', 5.832410433722506]"
250,"(2, 0)","['AU', -7.260531787443539]"
250,"(2, 4)","['AD', 8.19869269224716]"
250,"(3, 0)","['AU', -9.052706394089729]"
250,"(3, 1)","['AL', -9.777187276561868]"
250,"(3, 3)","['AR', 5.838039458307305]"
250,"(3, 4)","['AD', 9.053441631140464]"
250,"(4, 0)","['AU', -12.076271765763863]"
250,"(4, 1)","['AR', -0.4278904934289358]"
250,"(4, 2)","['AR', 7.970809157602487]"
250,"(4, 3)","['AR', 9.057778942394583]"
500,"(0, 0)","['AL', -6.071127539979854]"
500,"(0, 1)","['AL', -7.378966319504137]"
500,"(0, 2)","['AL', -7.8787327579431645]"
500,"(0, 3)","['AL', -9.732356823620142]"
500,"(0, 4)","['AD', -1.1877683003997337]"
500,"(1, 0)","['AL', -7.0903177600265925]"
500,"(1, 1)","['AL', -7.3892967808514385]"
500,"(1, 2)","['AL', -7.696833338852303]"
500,"(1, 3)","['AR', -1.9807202301686313]"
500,"(1, 4)","['AD', 5.819804490922743]"
500,"(2, 0)","['AU', -7.2171938624461465]"
500,"(2, 4)","['AD', 8.205841675635497]"
500,"(3, 0)","['AU', -8.369973213149331]"
500,"(3, 1)","['AL', -9.860619513258879]"
500,"(3, 3)","['AR', 5.937558878528272]"
500,"(3, 4)","['AD', 9.052745766573386]"
500,"(4, 0)","['AU', -9.621397004212195]"
500,"(4, 1)","['AR', -0.21282387306616407]"
500,"(4, 2)","['AR', 7.978181243769439]"
500,"(4, 3)","['AR', 9.054100400479484]"
750,"(0, 0)","['AL', -6.93834841843225]"
750,"(0, 1)","['AL', -7.410586158161969]"
750,"(0, 2)","['AL', -8.02944298015032]"
750,"(0, 3)","['AL', -9.630662537639004]"
750,"(0, 4)","['AD', -0.9983297321506909]"
750,"(1, 0)","['AL', -7.12317299447964]"
750,"(1, 1)","['AL', -7.391920867902536]"
750,"(1, 2)","['AL', -7.61457237350823]"
750,"(1, 3)","['AR', -1.911829457221809]"
750,"(1, 4)","['AD', 5.808861911086697]"
750,"(2, 0)","['AU', -7.226300926323476]"
750,"(2, 4)","['AD', 8.213547690872383]"
750,"(3, 0)","['AU', -8.28891518122293]"
750,"(3, 1)","['AL', -9.708862499714554]"
750,"(3, 3)","['AR', 6.084741327323209]"
750,"(3, 4)","['AD', 9.049249775903514]"
750,"(4, 0)","['AU', -9.193484327652577]"
750,"(4, 1)","['AR', 0.039852958504058796]"
750,"(4, 2)","['AR', 7.98237614235522]"
750,"(4, 3)","['AR', 9.05718744718349]"
1000,"(0, 0)","['AR', -7.265397736470933]"
1000,"(0, 1)","['AL', -7.422073954399698]"
1000,"(0, 2)","['AL', -7.868266232785015]"
1000,"(0, 3)","['AL', -9.209561554401336]"
1000,"(0, 4)","['AD', -0.22025442886780314]"
1000,"(1, 0)","['AL', -7.1383124676922]"
1000,"(1, 1)","['AL', -7.376047080306741]"
1000,"(1, 2)","['AL', -7.61897392083127]"
1000,"(1, 3)","['AR', -1.730980772218519]"
1000,"(1, 4)","['AD', 5.806205326806213]"
1000,"(2, 0)","['AU', -7.204352805867569]"
1000,"(2, 4)","['AD', 8.220651960362721]"
1000,"(3, 0)","['AU', -8.083176546098578]"
1000,"(3, 1)","['AL', -9.598335418839412]"
1000,"(3, 3)","['AR', 6.197421155496072]"
1000,"(3, 4)","['AD', 9.050264194901105]"
1000,"(4, 0)","['AU', -8.996117470567981]"
1000,"(4, 1)","['AR', 0.2231549452452745]"
1000,"(4, 2)","['AR', 8.001047200269072]"
1000,"(4, 3)","['AR', 9.064039428119914]"
1250,"(0, 0)","['AR', -6.911277767363677]"
1250,"(0, 1)","['AL', -7.406905338383962]"
1250,"(0, 2)","['AL', -7.8133935296607575]"
1250,"(0, 3)","['AL', -9.079323177001301]"
1250,"(0, 4)","['AD', 0.22600866748880563]"
1250,"(1, 0)","['AU', -7.1449695217872655]"
1250,"(1, 1)","['AL', -7.369002190777255]"
1250,"(1, 2)","['AL', -7.586738278016452]"
1250,"(1, 3)","['AR', -1.5707041165548932]"
1250,"(1, 4)","['AD', 5.797134240579855]"
1250,"(2, 0)","['AU', -7.143018054072278]"
1250,"(2, 4)","['AD', 8.230660898918485]"
1250,"(3, 0)","['AU', -7.91461785239363]"
1250,"(3, 1)","['AL', -9.485800228689804]"
1250,"(3, 3)","['AR', 6.241438082086825]"
1250,"(3, 4)","['AD', 9.050795170288174]"
1250,"(4, 0)","['AU', -8.866821181200173]"
1250,"(4, 1)","['AR', 0.41265933433632046]"
1250,"(4, 2)","['AR', 8.017261244738306]"
1250,"(4, 3)","['AR', 9.067934580189359]"
1500,"(0, 0)","['AR', -7.112194992405581]"
1500,"(0, 1)","['AL', -7.4328861772113175]"
1500,"(0, 2)","['AL', -7.879880348897695]"
1500,"(0, 3)","['AL', -9.065208270117596]"
1500,"(0, 4)","['AD', 0.6096956372334144]"
1500,"(1, 0)","['AU', -7.1433950025487585]"
1500,"(1, 1)","['AL', -7.393703337022274]"
1500,"(1, 2)","['AL', -7.587672924134984]"
1500,"(1, 3)","['AR', -1.4043835451756046]"
1500,"(1, 4)","['AD', 5.803893194336687]"
1500,"(2, 0)","['AU', -7.134555639258324]"
1500,"(2, 4)","['AD', 8.239524772322984]"
1500,"(3, 0)","['AU', -7.926317644502201]"
1500,"(3, 1)","['AL', -9.366307573949227]"
1500,"(3, 3)","['AR', 6.348902658498262]"
1500,"(3, 4)","['AD', 9.05286853982564]"
1500,"(4, 0)","['AU', -8.896399879282995]"
1500,"(4, 1)","['AR', 0.5191648132441475]"
1500,"(4, 2)","['AR', 8.027544402686178]"
1500,"(4, 3)","['AR', 9.072336703388109]"
1750,"(0, 0)","['AR', -7.073746246909713]"
1750,"(0, 1)","['AL', -7.443335505056011]"
1750,"(0, 2)","['AL', -7.8211390797005995]"
1750,"(0, 3)","['AL', -9.05747522029453]"
1750,"(0, 4)","['AD', 1.0356478905840223]"
1750,"(1, 0)","['AU', -7.147500510300215]"
1750,"(1, 1)","['AL', -7.404853169464103]"
1750,"(1, 2)","['AL', -7.522596936427805]"
1750,"(1, 3)","['AR', -1.2825794018806431]"
1750,"(1, 4)","['AD', 5.8078705488420175]"
1750,"(2, 0)","['AU', -7.131003107625907]"
1750,"(2, 4)","['AD', 8.246148476689749]"
1750,"(3, 0)","['AU', -7.9874012556258345]"
1750,"(3, 1)","['AL', -9.304193995693506]"
1750,"(3, 3)","['AR', 6.458343204555271]"
1750,"(3, 4)","['AD', 9.055910486740315]"
1750,"(4, 0)","['AU', -8.822476209529812]"
1750,"(4, 1)","['AR', 0.6550346872839453]"
1750,"(4, 2)","['AR', 8.051779955176205]"
1750,"(4, 3)","['AR', 9.078558655371877]"
2000,"(0, 0)","['AR', -7.064318483946556]"
2000,"(0, 1)","['AL', -7.486124113131701]"
2000,"(0, 2)","['AL', -7.870125520681544]"
2000,"(0, 3)","['AL', -8.939425274040442]"
2000,"(0, 4)","['AD', 1.4071300087769283]"
2000,"(1, 0)","['AU', -7.147782172232312]"
2000,"(1, 1)","['AL', -7.400819532724893]"
2000,"(1, 2)","['AL', -7.457847506083214]"
2000,"(1, 3)","['AR', -1.1813810912196885]"
2000,"(1, 4)","['AD', 5.816126914133709]"
2000,"(2, 0)","['AU', -7.10426244341163]"
2000,"(2, 4)","['AD', 8.255075150457227]"
2000,"(3, 0)","['AU', -7.9132110764632175]"
2000,"(3, 1)","['AL', -9.298537145402483]"
2000,"(3, 3)","['AR', 6.574843965322387]"
2000,"(3, 4)","['AD', 9.058549905336982]"
2000,"(4, 0)","['AU', -8.795526226105881]"
2000,"(4, 1)","['AR', 0.7908356639481785]"
2000,"(4, 2)","['AR', 8.062078585886665]"
2000,"(4, 3)","['AR', 9.085241808923383]"
2250,"(0, 0)","['AR', -7.336041279016971]"
2250,"(0, 1)","['AL', -7.447225044474288]"
2250,"(0, 2)","['AL', -7.831006071263624]"
2250,"(0, 3)","['AL', -9.129825125035866]"
2250,"(0, 4)","['AD', 1.633814460571898]"
2250,"(1, 0)","['AU', -7.153130482388004]"
2250,"(1, 1)","['AL', -7.416287170397313]"
