Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.03483551799473406]"
250,"(0, 1)","['AD', -0.1221582622555115]"
250,"(0, 2)","['AD', -0.2766392802490711]"
250,"(0, 3)","['AD', -0.1064422118391934]"
250,"(0, 4)","['AD', 0.15305527363221635]"
250,"(1, 0)","['AD', 0.10565972209475268]"
250,"(1, 1)","['AD', 0.09076200969499007]"
250,"(1, 2)","['AL', -0.30054365446937803]"
250,"(1, 3)","['AD', 1.4245560213111985]"
250,"(1, 4)","['AD', 1.7540959040722885]"
250,"(2, 0)","['AR', 0.17639103733709227]"
250,"(2, 1)","['AD', 0.28456254991586993]"
250,"(2, 3)","['AR', 4.84611721825554]"
250,"(2, 4)","['AD', 5.302153183884107]"
250,"(3, 0)","['AR', 0.32251600446882717]"
250,"(3, 1)","['AD', 0.35118364539945146]"
250,"(3, 3)","['AL', 2.1507356075894304]"
250,"(3, 4)","['AR', 5.824619685891534]"
250,"(4, 0)","['AL', 0.21612162379102565]"
250,"(4, 1)","['AD', 0.7485714784081311]"
250,"(4, 2)","['AU', 1.3436424654797474]"
250,"(4, 3)","['AU', 1.4385635886130848]"
500,"(0, 0)","['AD', -0.058893000069338154]"
500,"(0, 1)","['AD', -0.16525028955067492]"
500,"(0, 2)","['AD', -0.34216646097344794]"
500,"(0, 3)","['AD', -0.1400275078108509]"
500,"(0, 4)","['AD', 0.206383588554953]"
500,"(1, 0)","['AD', 0.1001693008628388]"
500,"(1, 1)","['AD', 0.0881778081705845]"
500,"(1, 2)","['AL', -0.31091313364490664]"
500,"(1, 3)","['AD', 1.4299120879585052]"
500,"(1, 4)","['AD', 1.7692340960666981]"
500,"(2, 0)","['AR', 0.1769074556545517]"
500,"(2, 1)","['AD', 0.28463839554434167]"
500,"(2, 3)","['AR', 4.836527907614199]"
500,"(2, 4)","['AD', 5.291473271091481]"
500,"(3, 0)","['AR', 0.3317937723237814]"
500,"(3, 1)","['AD', 0.35213962797552517]"
500,"(3, 3)","['AL', 2.0537077128249135]"
500,"(3, 4)","['AR', 5.820327971549532]"
500,"(4, 0)","['AL', 0.20597361956621826]"
500,"(4, 1)","['AD', 0.7472179280999562]"
500,"(4, 2)","['AU', 1.3516066867346712]"
500,"(4, 3)","['AU', 1.463296758908845]"
750,"(0, 0)","['AD', -0.05957742352491062]"
750,"(0, 1)","['AD', -0.18702184213626502]"
750,"(0, 2)","['AD', -0.38373444806706664]"
750,"(0, 3)","['AD', -0.10899919534603791]"
750,"(0, 4)","['AD', 0.26570512297391935]"
750,"(1, 0)","['AD', 0.10006190269264117]"
750,"(1, 1)","['AD', 0.0905064089690979]"
750,"(1, 2)","['AL', -0.32435098879834]"
750,"(1, 3)","['AD', 1.4429388840313666]"
750,"(1, 4)","['AD', 1.7864899229852178]"
750,"(2, 0)","['AR', 0.1777880571427732]"
750,"(2, 1)","['AD', 0.28482684034212447]"
750,"(2, 3)","['AR', 4.819676729785851]"
750,"(2, 4)","['AD', 5.286149534548468]"
750,"(3, 0)","['AR', 0.3340766911742768]"
750,"(3, 1)","['AD', 0.35256885731544857]"
750,"(3, 3)","['AL', 2.015153797561531]"
750,"(3, 4)","['AR', 5.818028488977272]"
750,"(4, 0)","['AL', 0.19575350435464495]"
750,"(4, 1)","['AD', 0.7483619311835418]"
750,"(4, 2)","['AU', 1.357592044325575]"
750,"(4, 3)","['AU', 1.494390451687246]"
1000,"(0, 0)","['AD', -0.04192996809347551]"
1000,"(0, 1)","['AD', -0.22350456183993472]"
1000,"(0, 2)","['AD', -0.4410034830650187]"
