Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.35611389889616507]"
250,"(0, 1)","['AL', 3.7266753664007437]"
250,"(0, 2)","['AD', 2.5424511063853985]"
250,"(0, 3)","['AD', 6.381530054261278]"
250,"(0, 4)","['AD', 6.962029326868483]"
250,"(1, 0)","['AD', 6.851947862945462]"
250,"(1, 1)","['AL', 5.633056639547696]"
250,"(1, 2)","['AR', 7.735464962436263]"
250,"(1, 3)","['AD', 8.960182637937628]"
250,"(1, 4)","['AL', 8.457679479348831]"
250,"(2, 0)","['AD', 8.082290475605475]"
250,"(2, 1)","['AD', 7.216558307682942]"
250,"(2, 3)","['AD', 9.391402999735742]"
250,"(2, 4)","['AD', 8.139200838644205]"
250,"(3, 0)","['AD', 8.5456925085157]"
250,"(3, 1)","['AD', 8.767885315123063]"
250,"(3, 3)","['AD', 9.538181909857313]"
250,"(3, 4)","['AL', 9.164382638324314]"
250,"(4, 0)","['AR', 8.971281284562913]"
250,"(4, 1)","['AR', 9.348909777520307]"
250,"(4, 2)","['AR', 9.612934930110308]"
250,"(4, 3)","['AR', 9.736526261243357]"
500,"(0, 0)","['AD', -0.27853890990065044]"
500,"(0, 1)","['AL', 4.27821897795046]"
500,"(0, 2)","['AD', 3.918514569004674]"
500,"(0, 3)","['AD', 6.597559565097083]"
500,"(0, 4)","['AD', 7.1620355330776535]"
500,"(1, 0)","['AD', 6.861074735427539]"
500,"(1, 1)","['AL', 5.7632308864663715]"
500,"(1, 2)","['AR', 7.715916651697453]"
500,"(1, 3)","['AD', 8.959990273950751]"
500,"(1, 4)","['AL', 8.452110314504276]"
500,"(2, 0)","['AD', 8.082581523508441]"
500,"(2, 1)","['AD', 7.316837912059388]"
500,"(2, 3)","['AD', 9.391087277552938]"
500,"(2, 4)","['AD', 8.194975292876851]"
500,"(3, 0)","['AD', 8.54669519743073]"
500,"(3, 1)","['AD', 8.767367368664184]"
500,"(3, 3)","['AD', 9.537986123251166]"
500,"(3, 4)","['AL', 9.165034052351384]"
500,"(4, 0)","['AR', 8.972095229115189]"
500,"(4, 1)","['AR', 9.349559451700873]"
500,"(4, 2)","['AR', 9.613153749922835]"
500,"(4, 3)","['AR', 9.736810265007481]"
750,"(0, 0)","['AD', -0.16155534984982328]"
750,"(0, 1)","['AL', 4.563929905171933]"
750,"(0, 2)","['AD', 4.262508983357789]"
750,"(0, 3)","['AD', 6.802150605452396]"
750,"(0, 4)","['AD', 7.281915259031441]"
750,"(1, 0)","['AD', 6.871705063140182]"
750,"(1, 1)","['AL', 5.885593433951398]"
750,"(1, 2)","['AR', 7.722167775391863]"
750,"(1, 3)","['AD', 8.95833361951668]"
750,"(1, 4)","['AL', 8.450648959125466]"
750,"(2, 0)","['AD', 8.085813264248952]"
750,"(2, 1)","['AD', 7.426609872582156]"
750,"(2, 3)","['AD', 9.390675394755423]"
750,"(2, 4)","['AD', 8.253714239290199]"
750,"(3, 0)","['AD', 8.549257183060623]"
750,"(3, 1)","['AD', 8.772591140583577]"
750,"(3, 3)","['AD', 9.537963514598903]"
750,"(3, 4)","['AL', 9.167353532557708]"
750,"(4, 0)","['AR', 8.970987432809835]"
750,"(4, 1)","['AR', 9.350897241234051]"
750,"(4, 2)","['AR', 9.613143684607753]"
750,"(4, 3)","['AR', 9.736829343874282]"
1000,"(0, 0)","['AD', -0.14397770846308752]"
1000,"(0, 1)","['AL', 4.877038538473793]"
1000,"(0, 2)","['AD', 4.733327645946294]"
1000,"(0, 3)","['AD', 6.949570881030563]"
1000,"(0, 4)","['AD', 7.433897450876877]"
1000,"(1, 0)","['AD', 6.8858738852448]"
1000,"(1, 1)","['AL', 6.009331233240821]"
1000,"(1, 2)","['AR', 7.723487816292756]"
1000,"(1, 3)","['AD', 8.958265281761424]"
1000,"(1, 4)","['AL', 8.448854565319035]"
1000,"(2, 0)","['AD', 8.087890641655475]"
1000,"(2, 1)","['AD', 7.514769894105256]"
1000,"(2, 3)","['AD', 9.391943951976657]"
