Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.74072741618938]"
250,"(0, 1)","['AL', 4.069568031805831]"
250,"(0, 2)","['AL', 1.6120058550157101]"
250,"(0, 3)","['AD', 5.11674220254231]"
250,"(0, 4)","['AD', 6.570197327952184]"
250,"(1, 0)","['AD', 6.845999146318657]"
250,"(1, 1)","['AL', 4.996718499260585]"
250,"(1, 2)","['AL', 4.043385855759051]"
250,"(1, 3)","['AD', 8.813777438387788]"
250,"(1, 4)","['AD', 8.650594726667077]"
250,"(2, 0)","['AD', 7.756241374503929]"
250,"(2, 1)","['AD', 6.985880948473399]"
250,"(2, 3)","['AD', 9.351809073084207]"
250,"(2, 4)","['AL', 8.944628196604075]"
250,"(3, 0)","['AR', 8.148068085531055]"
250,"(3, 1)","['AD', 8.718336836921182]"
250,"(3, 3)","['AD', 9.503980868705717]"
250,"(3, 4)","['AL', 8.52023309816652]"
250,"(4, 0)","['AR', 7.846826300651046]"
250,"(4, 1)","['AR', 9.215186976216001]"
250,"(4, 2)","['AR', 9.539445972257571]"
250,"(4, 3)","['AR', 9.708168677017216]"
500,"(0, 0)","['AD', -0.33026093099342096]"
500,"(0, 1)","['AL', 4.357560228162268]"
500,"(0, 2)","['AL', 2.223909238253086]"
500,"(0, 3)","['AD', 5.94229148780846]"
500,"(0, 4)","['AD', 6.824928915977766]"
500,"(1, 0)","['AD', 6.846982514506764]"
500,"(1, 1)","['AL', 5.0765952129880505]"
500,"(1, 2)","['AL', 4.267424511353584]"
500,"(1, 3)","['AD', 8.807655383670943]"
500,"(1, 4)","['AD', 8.639432773553263]"
500,"(2, 0)","['AD', 7.756485726893965]"
500,"(2, 1)","['AD', 7.043152156214511]"
500,"(2, 3)","['AD', 9.350963756683473]"
500,"(2, 4)","['AL', 8.942698132856751]"
500,"(3, 0)","['AR', 8.147860853871776]"
500,"(3, 1)","['AD', 8.71873489309648]"
500,"(3, 3)","['AD', 9.503958645761562]"
500,"(3, 4)","['AL', 8.554567272783146]"
500,"(4, 0)","['AR', 7.924859831550636]"
500,"(4, 1)","['AR', 9.215795182988815]"
500,"(4, 2)","['AR', 9.540162739873304]"
500,"(4, 3)","['AR', 9.708205097748884]"
750,"(0, 0)","['AD', -0.4106797841330414]"
750,"(0, 1)","['AL', 4.67314819571048]"
750,"(0, 2)","['AL', 3.0366902973010474]"
750,"(0, 3)","['AD', 6.332562741150315]"
750,"(0, 4)","['AD', 6.999711310685744]"
750,"(1, 0)","['AD', 6.853114083820432]"
750,"(1, 1)","['AL', 5.176429121881973]"
750,"(1, 2)","['AL', 4.456692812461349]"
750,"(1, 3)","['AD', 8.806646487927638]"
750,"(1, 4)","['AD', 8.64273118550847]"
750,"(2, 0)","['AD', 7.757389695191236]"
750,"(2, 1)","['AD', 7.134045112554882]"
750,"(2, 3)","['AD', 9.349750387982468]"
750,"(2, 4)","['AL', 8.93890801175692]"
750,"(3, 0)","['AR', 8.15026547194156]"
