Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -1.233340615872641]"
250,"(0, 1)","['AD', 1.8571920319923172]"
250,"(0, 2)","['AD', 0.38574442407428633]"
250,"(0, 3)","['AD', 2.51014251348221]"
250,"(0, 4)","['AD', 2.928198375937953]"
250,"(1, 0)","['AD', 3.5866867281762778]"
250,"(1, 1)","['AD', 4.055138911465448]"
250,"(1, 2)","['AL', 2.943192733166256]"
250,"(1, 3)","['AD', 4.974587141748856]"
250,"(1, 4)","['AD', 4.670859362449583]"
250,"(2, 0)","['AR', 3.9496272800006285]"
250,"(2, 1)","['AD', 4.496875499613634]"
250,"(2, 3)","['AD', 5.42530951668444]"
250,"(2, 4)","['AL', 4.934439274991222]"
250,"(3, 0)","['AD', 3.100085355899274]"
250,"(3, 1)","['AD', 4.7458400501182165]"
250,"(3, 3)","['AD', 5.747745845699873]"
250,"(3, 4)","['AL', 4.313623033989603]"
250,"(4, 0)","['AR', 4.794328361728604]"
250,"(4, 1)","['AR', 5.192932481977788]"
250,"(4, 2)","['AR', 4.904938838692337]"
250,"(4, 3)","['AD', 5.742267753806615]"
500,"(0, 0)","['AD', -0.2055696224456203]"
500,"(0, 1)","['AD', 1.9352472050220215]"
500,"(0, 2)","['AD', 0.36195595367283395]"
500,"(0, 3)","['AD', 2.6720602991727502]"
500,"(0, 4)","['AD', 3.0554982595803386]"
500,"(1, 0)","['AD', 3.5722721581267805]"
500,"(1, 1)","['AD', 4.050327318527397]"
500,"(1, 2)","['AL', 2.93322096386937]"
500,"(1, 3)","['AD', 4.965591677042806]"
500,"(1, 4)","['AD', 4.6564091505863665]"
500,"(2, 0)","['AR', 3.9418368900709995]"
500,"(2, 1)","['AD', 4.494337337166143]"
500,"(2, 3)","['AD', 5.418334704418894]"
500,"(2, 4)","['AL', 4.9280378090190915]"
500,"(3, 0)","['AD', 3.125756582886949]"
500,"(3, 1)","['AD', 4.7457077628664495]"
500,"(3, 3)","['AD', 5.745371744872037]"
500,"(3, 4)","['AL', 4.378611683753719]"
500,"(4, 0)","['AR', 4.781972151509482]"
500,"(4, 1)","['AR', 5.192183063166276]"
500,"(4, 2)","['AR', 4.904864059496073]"
