Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.02118169464419595]"
250,"(0, 1)","['AL', -0.09498452146629148]"
250,"(0, 2)","['AD', -0.05049932477780318]"
250,"(0, 3)","['AD', -0.09519376656868954]"
250,"(0, 4)","['AD', -0.0006149298029550367]"
250,"(1, 0)","['AD', 0.02161521377529727]"
250,"(1, 1)","['AD', 0.037770846765934965]"
250,"(1, 2)","['AL', -0.1950331866859611]"
250,"(1, 3)","['AD', 0.19723758127511806]"
250,"(1, 4)","['AD', 0.2295821568127192]"
250,"(2, 0)","['AD', 0.1887384871540483]"
250,"(2, 1)","['AD', 0.29197257260520676]"
250,"(2, 3)","['AD', 0.921607696603405]"
250,"(2, 4)","['AL', 1.089839696974393]"
250,"(3, 0)","['AD', 0.2840133963843969]"
250,"(3, 1)","['AD', 0.38718468686916846]"
250,"(3, 3)","['AL', 1.6282198217079753]"
250,"(3, 4)","['AL', 1.985108649240138]"
250,"(4, 0)","['AR', 0.28657423799378895]"
250,"(4, 1)","['AR', 0.7909855715469319]"
250,"(4, 2)","['AU', 1.6640139564073222]"
250,"(4, 3)","['AU', 2.0929182322618822]"
500,"(0, 0)","['AD', -0.039724958136522735]"
500,"(0, 1)","['AL', -0.11187683212326151]"
500,"(0, 2)","['AD', -0.08292427430050724]"
500,"(0, 3)","['AD', -0.11730161570527256]"
500,"(0, 4)","['AD', 0.0033851278780759157]"
500,"(1, 0)","['AD', 0.020422945873507514]"
500,"(1, 1)","['AD', 0.03778704335928598]"
500,"(1, 2)","['AL', -0.20553814763304906]"
500,"(1, 3)","['AD', 0.19914139853823762]"
500,"(1, 4)","['AD', 0.2364080287970035]"
500,"(2, 0)","['AD', 0.19051201330469208]"
500,"(2, 1)","['AD', 0.29255976785734394]"
500,"(2, 3)","['AD', 0.9236016736444407]"
500,"(2, 4)","['AL', 1.093683985735586]"
500,"(3, 0)","['AD', 0.2855924460528085]"
500,"(3, 1)","['AD', 0.38857869271813383]"
500,"(3, 3)","['AL', 1.6285550963302207]"
500,"(3, 4)","['AL', 1.9930508449945334]"
500,"(4, 0)","['AR', 0.28806490246572974]"
500,"(4, 1)","['AR', 0.7919897459712442]"
500,"(4, 2)","['AU', 1.6666068951257924]"
500,"(4, 3)","['AU', 2.0970193217202713]"
750,"(0, 0)","['AD', -0.05480555678651168]"
750,"(0, 1)","['AL', -0.11887383567923386]"
750,"(0, 2)","['AD', -0.12158938114381683]"
750,"(0, 3)","['AD', -0.12225899195539602]"
750,"(0, 4)","['AD', 0.008487244714714478]"
750,"(1, 0)","['AD', 0.02343867424511567]"
750,"(1, 1)","['AD', 0.04015236029726272]"
750,"(1, 2)","['AL', -0.21706084792995767]"
750,"(1, 3)","['AD', 0.2012984909762751]"
750,"(1, 4)","['AD', 0.24052572257746882]"
750,"(2, 0)","['AD', 0.19260836042763976]"
750,"(2, 1)","['AD', 0.2953296191428491]"
750,"(2, 3)","['AD', 0.925779908139728]"
750,"(2, 4)","['AL', 1.0975334204798664]"
750,"(3, 0)","['AD', 0.286727639278014]"
750,"(3, 1)","['AD', 0.3901941346795598]"
750,"(3, 3)","['AL', 1.6269309120999007]"
750,"(3, 4)","['AL', 2.012096158981818]"
750,"(4, 0)","['AR', 0.289522262006123]"
