Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.015836338475581066]"
250,"(0, 1)","['AL', -0.059563766878512794]"
250,"(0, 2)","['AD', -0.03676639647833929]"
250,"(0, 3)","['AD', -0.08155145171744696]"
250,"(0, 4)","['AD', 0.08187760902476705]"
250,"(1, 0)","['AD', -0.015723132511563105]"
250,"(1, 1)","['AD', -0.0348416601985122]"
250,"(1, 2)","['AL', -0.21886806421411248]"
250,"(1, 3)","['AD', 0.5635911633996994]"
250,"(1, 4)","['AD', 1.1492991306727605]"
250,"(2, 0)","['AD', 0.06381327430124359]"
250,"(2, 1)","['AD', 0.08958513610318129]"
250,"(2, 3)","['AR', 2.2430436942935654]"
250,"(2, 4)","['AD', 2.3864701468978025]"
250,"(3, 0)","['AD', 0.10824737260827376]"
250,"(3, 1)","['AD', 0.1450805768237609]"
250,"(3, 3)","['AU', 0.8442568422972169]"
250,"(3, 4)","['AD', 5.240899669015142]"
250,"(4, 0)","['AR', 0.12439575859815842]"
250,"(4, 1)","['AR', 0.487684548599588]"
250,"(4, 2)","['AL', 0.77330388194598]"
250,"(4, 3)","['AL', 0.14128269295329643]"
500,"(0, 0)","['AD', -0.03217570615630825]"
500,"(0, 1)","['AL', -0.06370687449200314]"
500,"(0, 2)","['AD', -0.06827373999295346]"
500,"(0, 3)","['AD', -0.088653700757973]"
500,"(0, 4)","['AD', 0.1250919565838685]"
500,"(1, 0)","['AD', -0.015340945986362688]"
500,"(1, 1)","['AD', -0.03496523000437826]"
500,"(1, 2)","['AL', -0.22538645235907417]"
500,"(1, 3)","['AD', 0.5820751863902897]"
500,"(1, 4)","['AD', 1.166939339863087]"
500,"(2, 0)","['AD', 0.0642583497814892]"
500,"(2, 1)","['AD', 0.09039186568673174]"
500,"(2, 3)","['AR', 2.2648837212422777]"
500,"(2, 4)","['AD', 2.3953740024638708]"
500,"(3, 0)","['AD', 0.10884703573408969]"
500,"(3, 1)","['AD', 0.1460220583953255]"
500,"(3, 3)","['AU', 0.9194182936922034]"
500,"(3, 4)","['AD', 5.250576182846315]"
500,"(4, 0)","['AR', 0.12468358540138355]"
500,"(4, 1)","['AR', 0.48886206559198603]"
500,"(4, 2)","['AL', 0.7733067781975701]"
500,"(4, 3)","['AL', 0.14819162036147987]"
750,"(0, 0)","['AD', -0.04107760241893291]"
750,"(0, 1)","['AL', -0.07205337565905265]"
750,"(0, 2)","['AD', -0.10043966272132372]"
750,"(0, 3)","['AD', -0.09749365038593383]"
750,"(0, 4)","['AD', 0.18205670830181847]"
750,"(1, 0)","['AD', -0.015000393222649455]"
750,"(1, 1)","['AD', -0.03461845548886266]"
750,"(1, 2)","['AL', -0.23041360806924355]"
750,"(1, 3)","['AD', 0.6028419334296072]"
750,"(1, 4)","['AD', 1.1866139507043376]"
750,"(2, 0)","['AD', 0.06454601389692047]"
750,"(2, 1)","['AD', 0.09092923493601114]"
750,"(2, 3)","['AR', 2.286747726072502]"
750,"(2, 4)","['AD', 2.4059744996321926]"
750,"(3, 0)","['AD', 0.10936126829409501]"
750,"(3, 1)","['AD', 0.14686112032691143]"
750,"(3, 3)","['AU', 1.0013629978731327]"
750,"(3, 4)","['AD', 5.260043789372933]"
750,"(4, 0)","['AR', 0.12561429121373993]"
750,"(4, 1)","['AR', 0.48894903057537575]"
750,"(4, 2)","['AL', 0.7728014749375551]"
750,"(4, 3)","['AL', 0.15622914114262387]"
1000,"(0, 0)","['AD', -0.04816435517001544]"
1000,"(0, 1)","['AL', -0.0765619653553292]"
1000,"(0, 2)","['AD', -0.11945931034880886]"
1000,"(0, 3)","['AD', -0.1051831283697849]"
1000,"(0, 4)","['AD', 0.22779634887757566]"
1000,"(1, 0)","['AD', -0.013969715237313472]"
1000,"(1, 1)","['AD', -0.033357067003722214]"
1000,"(1, 2)","['AL', -0.2335105294576061]"
