Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.008478898840211848]"
250,"(0, 1)","['AL', -0.03839801506182351]"
250,"(0, 2)","['AD', -0.032273203712027375]"
250,"(0, 3)","['AD', -0.030456021015958342]"
250,"(0, 4)","['AD', 0.037225556603736255]"
250,"(1, 0)","['AD', 0.11250920711034829]"
250,"(1, 1)","['AD', 0.03604311292415336]"
250,"(1, 2)","['AL', -0.10456675693158093]"
250,"(1, 3)","['AD', 0.20892382188947448]"
250,"(1, 4)","['AD', 0.873402442236775]"
250,"(2, 0)","['AD', 0.18335690221062761]"
250,"(2, 1)","['AD', 0.2177986795565657]"
250,"(2, 3)","['AD', 0.34938697122432877]"
250,"(2, 4)","['AD', 0.8622490569265072]"
250,"(3, 0)","['AD', 0.23125669144210764]"
250,"(3, 1)","['AD', 0.26138244197350996]"
250,"(3, 3)","['AD', 1.001371072564791]"
250,"(3, 4)","['AD', 1.8962573634145246]"
250,"(4, 0)","['AR', 0.25116538922014153]"
250,"(4, 1)","['AR', 0.22511767795537044]"
250,"(4, 2)","['AR', 1.669205581203181]"
250,"(4, 3)","['AL', 2.0097539007008844]"
500,"(0, 0)","['AD', -0.014788151961627681]"
500,"(0, 1)","['AL', -0.04896215019334754]"
500,"(0, 2)","['AD', -0.060625975306274595]"
500,"(0, 3)","['AD', -0.03386987317989578]"
500,"(0, 4)","['AD', 0.06945363108540073]"
500,"(1, 0)","['AD', 0.1133270197623147]"
500,"(1, 1)","['AD', 0.038094773923384694]"
500,"(1, 2)","['AL', -0.10872265206224771]"
500,"(1, 3)","['AD', 0.2131818374623313]"
500,"(1, 4)","['AD', 0.889695138973477]"
500,"(2, 0)","['AD', 0.18497259871601984]"
500,"(2, 1)","['AD', 0.21914618270302852]"
500,"(2, 3)","['AD', 0.3528960834450405]"
500,"(2, 4)","['AD', 0.871494349714373]"
500,"(3, 0)","['AD', 0.23199332603708717]"
500,"(3, 1)","['AD', 0.2629073740103836]"
500,"(3, 3)","['AD', 1.0043044120732565]"
500,"(3, 4)","['AD', 1.9080673900428162]"
500,"(4, 0)","['AR', 0.25206782044697384]"
500,"(4, 1)","['AR', 0.22553057124136594]"
500,"(4, 2)","['AR', 1.6698157552928494]"
500,"(4, 3)","['AL', 2.009107318055673]"
750,"(0, 0)","['AD', -0.01828761276483637]"
750,"(0, 1)","['AL', -0.052149469702999586]"
750,"(0, 2)","['AD', -0.07911870091635081]"
750,"(0, 3)","['AD', -0.03881911799178521]"
750,"(0, 4)","['AD', 0.10773155927810904]"
750,"(1, 0)","['AD', 0.11408732337585958]"
750,"(1, 1)","['AD', 0.04006707818472244]"
750,"(1, 2)","['AL', -0.11119782904545848]"
750,"(1, 3)","['AD', 0.21742522461841615]"
750,"(1, 4)","['AD', 0.9087459396741663]"
750,"(2, 0)","['AD', 0.18663729325530787]"
750,"(2, 1)","['AD', 0.22062103152555337]"
750,"(2, 3)","['AD', 0.35656718424457506]"
750,"(2, 4)","['AD', 0.8813325588888002]"
750,"(3, 0)","['AD', 0.23312567339728124]"
750,"(3, 1)","['AD', 0.2647961536455041]"
750,"(3, 3)","['AD', 1.007910006901781]"
750,"(3, 4)","['AD', 1.9209995960830333]"
750,"(4, 0)","['AR', 0.2531696843015434]"
750,"(4, 1)","['AR', 0.22609600401105423]"
750,"(4, 2)","['AR', 1.6705535781582497]"
750,"(4, 3)","['AL', 2.0089569420498754]"
1000,"(0, 0)","['AD', -0.0223373586684652]"
1000,"(0, 1)","['AL', -0.0527613550056218]"
1000,"(0, 2)","['AD', -0.08895060080193426]"
1000,"(0, 3)","['AD', -0.03887414766283302]"
1000,"(0, 4)","['AD', 0.1499652303722647]"
1000,"(1, 0)","['AD', 0.11570423805664033]"
1000,"(1, 1)","['AD', 0.040485994672185235]"
1000,"(1, 2)","['AL', -0.11277362065086086]"
1000,"(1, 3)","['AD', 0.2221301392138672]"
1000,"(1, 4)","['AD', 0.9276690211788775]"
1000,"(2, 0)","['AD', 0.18770977899797467]"
1000,"(2, 1)","['AD', 0.2221989188632305]"
1000,"(2, 3)","['AD', 0.3607874951571271]"
1000,"(2, 4)","['AD', 0.890754568314023]"
1000,"(3, 0)","['AD', 0.2349601281476395]"
1000,"(3, 1)","['AD', 0.2665284198443475]"
1000,"(3, 3)","['AD', 1.012277570832409]"
1000,"(3, 4)","['AD', 1.9329611149121295]"
1000,"(4, 0)","['AR', 0.2545480999796532]"
1000,"(4, 1)","['AR', 0.22640130915820386]"
1000,"(4, 2)","['AR', 1.6710350567126482]"
1000,"(4, 3)","['AL', 2.0092239523261166]"
1250,"(0, 0)","['AD', -0.02469702843747014]"
1250,"(0, 1)","['AL', -0.052312204998475255]"
1250,"(0, 2)","['AD', -0.10750809493278413]"
1250,"(0, 3)","['AD', -0.0336599764074355]"
1250,"(0, 4)","['AD', 0.18568828749689503]"
1250,"(1, 0)","['AD', 0.11776396282393962]"
1250,"(1, 1)","['AD', 0.0417666401951271]"
1250,"(1, 2)","['AL', -0.11291242815313972]"
1250,"(1, 3)","['AD', 0.22942095378500274]"
1250,"(1, 4)","['AD', 0.9437396353964528]"
1250,"(2, 0)","['AD', 0.18912536993838022]"
1250,"(2, 1)","['AD', 0.22370558030843726]"
1250,"(2, 3)","['AD', 0.3647266299717432]"
1250,"(2, 4)","['AD', 0.8996511962911877]"
1250,"(3, 0)","['AD', 0.23672254221264313]"
1250,"(3, 1)","['AD', 0.2673753283609271]"
1250,"(3, 3)","['AD', 1.0159031961568707]"
1250,"(3, 4)","['AD', 1.9456571179782192]"
1250,"(4, 0)","['AR', 0.2559710275527196]"
1250,"(4, 1)","['AR', 0.22676052361836802]"
1250,"(4, 2)","['AR', 1.6710290791993183]"
1250,"(4, 3)","['AL', 2.0088131413348416]"
1500,"(0, 0)","['AD', -0.02658527132974987]"
1500,"(0, 1)","['AL', -0.05268638295130048]"
1500,"(0, 2)","['AD', -0.11443501772703639]"
1500,"(0, 3)","['AD', -0.03207175226265153]"
1500,"(0, 4)","['AD', 0.22019089121974336]"
1500,"(1, 0)","['AD', 0.11976462169618875]"
1500,"(1, 1)","['AD', 0.04337036252541805]"
1500,"(1, 2)","['AL', -0.11355117481773602]"
1500,"(1, 3)","['AD', 0.23526247886506216]"
1500,"(1, 4)","['AD', 0.9632403779838365]"
1500,"(2, 0)","['AD', 0.19046781551050893]"
1500,"(2, 1)","['AD', 0.22548971079792907]"
1500,"(2, 3)","['AD', 0.36905967344344537]"
1500,"(2, 4)","['AD', 0.909333266118274]"
1500,"(3, 0)","['AD', 0.23835979803995908]"
1500,"(3, 1)","['AD', 0.2686615728558077]"
1500,"(3, 3)","['AD', 1.0190921404606437]"
1500,"(3, 4)","['AD', 1.958045687501133]"
1500,"(4, 0)","['AR', 0.2570031226064819]"
1500,"(4, 1)","['AR', 0.2274587907119463]"
1500,"(4, 2)","['AR', 1.6708574074820326]"
1500,"(4, 3)","['AL', 2.009640083836076]"
1750,"(0, 0)","['AD', -0.028552479382512513]"
1750,"(0, 1)","['AL', -0.054066081579461904]"
1750,"(0, 2)","['AD', -0.12506004770016224]"
1750,"(0, 3)","['AD', -0.026383816730854343]"
1750,"(0, 4)","['AD', 0.25773462356494126]"
1750,"(1, 0)","['AD', 0.12209014360366909]"
1750,"(1, 1)","['AD', 0.04452602753093767]"
1750,"(1, 2)","['AL', -0.11741935752044458]"
1750,"(1, 3)","['AD', 0.24112896979052273]"
1750,"(1, 4)","['AD', 0.9838382622107852]"
1750,"(2, 0)","['AD', 0.19259668263157187]"
1750,"(2, 1)","['AD', 0.2264316631091395]"
1750,"(2, 3)","['AD', 0.3738924130637827]"
1750,"(2, 4)","['AD', 0.9187338884383612]"
1750,"(3, 0)","['AD', 0.24008418868516018]"
1750,"(3, 1)","['AD', 0.2706139830814819]"
1750,"(3, 3)","['AD', 1.022511140186522]"
1750,"(3, 4)","['AD', 1.9703566128603716]"
1750,"(4, 0)","['AR', 0.258249690306896]"
1750,"(4, 1)","['AR', 0.22790076386487423]"
1750,"(4, 2)","['AR', 1.671839763577693]"
1750,"(4, 3)","['AL', 2.0098927687115333]"
2000,"(0, 0)","['AD', -0.02956134693188204]"
2000,"(0, 1)","['AL', -0.05499743042965797]"
2000,"(0, 2)","['AD', -0.13502926257707884]"
2000,"(0, 3)","['AD', -0.02281829150051245]"
2000,"(0, 4)","['AD', 0.29845422730590926]"
2000,"(1, 0)","['AD', 0.1228739928286009]"
2000,"(1, 1)","['AD', 0.04669153750011591]"
2000,"(1, 2)","['AL', -0.11905080135897303]"
2000,"(1, 3)","['AD', 0.2472448571954123]"
2000,"(1, 4)","['AD', 1.0006638801380745]"
2000,"(2, 0)","['AD', 0.19458914630168148]"
2000,"(2, 1)","['AD', 0.22870350655057828]"
2000,"(2, 3)","['AD', 0.3783378751184807]"
2000,"(2, 4)","['AD', 0.9278865293958578]"
2000,"(3, 0)","['AD', 0.24171310875472046]"
2000,"(3, 1)","['AD', 0.27215097771130653]"
2000,"(3, 3)","['AD', 1.0251629104456261]"
2000,"(3, 4)","['AD', 1.9824672269851007]"
2000,"(4, 0)","['AR', 0.2595058894138339]"
2000,"(4, 1)","['AR', 0.22832209629326602]"
2000,"(4, 2)","['AR', 1.6734989159673745]"
