Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.0043517613726655]"
250,"(0, 1)","['AL', -0.03796519711243028]"
250,"(0, 2)","['AD', -0.021649109077207452]"
250,"(0, 3)","['AD', -0.017828236973093294]"
250,"(0, 4)","['AD', 0.05327315795314334]"
250,"(1, 0)","['AD', 0.08089143040305097]"
250,"(1, 1)","['AD', 0.019320384716679895]"
250,"(1, 2)","['AL', -0.08949394624169098]"
250,"(1, 3)","['AD', 0.29982271185326675]"
250,"(1, 4)","['AD', 0.7481325438275708]"
250,"(2, 0)","['AD', 0.13718901304156667]"
250,"(2, 1)","['AD', 0.16252080020259738]"
250,"(2, 3)","['AD', 0.4668227075511691]"
250,"(2, 4)","['AD', 0.7709203986038822]"
250,"(3, 0)","['AD', 0.17249880538645335]"
250,"(3, 1)","['AD', 0.19890747943373946]"
250,"(3, 3)","['AD', 1.77270251163701]"
250,"(3, 4)","['AD', 1.651879115791681]"
250,"(4, 0)","['AR', 0.19652443401906286]"
250,"(4, 1)","['AR', 0.2212058767445644]"
250,"(4, 2)","['AD', 1.3650162524491627]"
250,"(4, 3)","['AU', 2.2426150393217554]"
500,"(0, 0)","['AD', -0.006522395735278225]"
500,"(0, 1)","['AL', -0.04508857112269857]"
500,"(0, 2)","['AD', -0.03304808708536127]"
500,"(0, 3)","['AD', -0.022398584586594363]"
500,"(0, 4)","['AD', 0.07657493565253484]"
500,"(1, 0)","['AD', 0.08136648787047314]"
500,"(1, 1)","['AD', 0.01929032551795732]"
500,"(1, 2)","['AL', -0.09375452200646646]"
500,"(1, 3)","['AD', 0.3040106404407043]"
500,"(1, 4)","['AD', 0.7623761500996914]"
500,"(2, 0)","['AD', 0.13812139766231843]"
500,"(2, 1)","['AD', 0.1633526363370895]"
500,"(2, 3)","['AD', 0.4715000310380385]"
500,"(2, 4)","['AD', 0.7796075981856171]"
500,"(3, 0)","['AD', 0.17394300713223854]"
500,"(3, 1)","['AD', 0.1998786164269714]"
500,"(3, 3)","['AD', 1.7771290585845907]"
500,"(3, 4)","['AD', 1.662098963850493]"
500,"(4, 0)","['AR', 0.19726742593820534]"
500,"(4, 1)","['AR', 0.22162705689680895]"
500,"(4, 2)","['AD', 1.366132094188305]"
500,"(4, 3)","['AU', 2.246908470815381]"
750,"(0, 0)","['AD', -0.00746838792475907]"
750,"(0, 1)","['AL', -0.04880189299612844]"
750,"(0, 2)","['AD', -0.04367591202813896]"
750,"(0, 3)","['AD', -0.013924502223462597]"
750,"(0, 4)","['AD', 0.10536977505120279]"
750,"(1, 0)","['AD', 0.08148003920975293]"
750,"(1, 1)","['AD', 0.019473370652214033]"
750,"(1, 2)","['AL', -0.09610965482934483]"
750,"(1, 3)","['AD', 0.30895989356027803]"
750,"(1, 4)","['AD', 0.7776991030911169]"
750,"(2, 0)","['AD', 0.1391977422459279]"
750,"(2, 1)","['AD', 0.16472010035315607]"
750,"(2, 3)","['AD', 0.4769209770411454]"
750,"(2, 4)","['AD', 0.7881089706455137]"
750,"(3, 0)","['AD', 0.17462959702494418]"
750,"(3, 1)","['AD', 0.20118158649039553]"
750,"(3, 3)","['AD', 1.7843650159158742]"
750,"(3, 4)","['AD', 1.6718740644538812]"
750,"(4, 0)","['AR', 0.19837140137474304]"
750,"(4, 1)","['AR', 0.2222640855347776]"
750,"(4, 2)","['AD', 1.3667708930964204]"
750,"(4, 3)","['AU', 2.2497237844966307]"
1000,"(0, 0)","['AD', -0.00559818794362114]"
1000,"(0, 1)","['AL', -0.05036253158260612]"
1000,"(0, 2)","['AD', -0.05520443468560983]"
1000,"(0, 3)","['AD', -0.0024375093089300326]"
1000,"(0, 4)","['AD', 0.13995276973738247]"
1000,"(1, 0)","['AD', 0.0824607403245902]"
1000,"(1, 1)","['AD', 0.020972692445290902]"
1000,"(1, 2)","['AL', -0.09524548678536275]"
1000,"(1, 3)","['AD', 0.31487967056043514]"
1000,"(1, 4)","['AD', 0.7920746410819504]"
1000,"(2, 0)","['AD', 0.1402537854173141]"
1000,"(2, 1)","['AD', 0.16574631314623492]"
