Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -0.03870860608132774]"
250,"(0, 1)","['AL', -0.1810202966238457]"
250,"(0, 2)","['AD', -0.12395863755535456]"
250,"(0, 3)","['AD', -0.1878018608761453]"
250,"(0, 4)","['AD', 0.04494705974429414]"
250,"(1, 0)","['AD', -0.08621489249434298]"
250,"(1, 1)","['AD', -0.12367666999856794]"
250,"(1, 2)","['AL', -0.5546840838844631]"
250,"(1, 3)","['AD', 0.9268717817136817]"
250,"(1, 4)","['AD', 1.471904807313103]"
250,"(2, 0)","['AD', 0.06537359292766651]"
250,"(2, 1)","['AD', 0.14068427483847992]"
250,"(2, 3)","['AR', 3.656071968818769]"
250,"(2, 4)","['AD', 2.8370002591894505]"
250,"(3, 0)","['AD', 0.17139890667896845]"
250,"(3, 1)","['AD', 0.2479116632994495]"
250,"(3, 3)","['AR', 2.332279362581153]"
250,"(3, 4)","['AR', 4.955696646956603]"
250,"(4, 0)","['AR', 0.2446563659993809]"
250,"(4, 1)","['AD', 0.6748207563593883]"
250,"(4, 2)","['AD', 1.5979275779946245]"
250,"(4, 3)","['AD', 3.9688779101573948]"
500,"(0, 0)","['AD', -0.07198699121896758]"
500,"(0, 1)","['AL', -0.22153040774702368]"
500,"(0, 2)","['AD', -0.19335333806105662]"
500,"(0, 3)","['AD', -0.20961970760617932]"
500,"(0, 4)","['AD', 0.08300645398146708]"
500,"(1, 0)","['AD', -0.08622232511920616]"
500,"(1, 1)","['AD', -0.12704374272065505]"
500,"(1, 2)","['AL', -0.5664027033928251]"
500,"(1, 3)","['AD', 0.9321091742238371]"
500,"(1, 4)","['AD', 1.4884719253300227]"
500,"(2, 0)","['AD', 0.06507180503664141]"
500,"(2, 1)","['AD', 0.14122676515420643]"
500,"(2, 3)","['AR', 3.6596396432197613]"
500,"(2, 4)","['AD', 2.8377157043839683]"
500,"(3, 0)","['AD', 0.17141996159504203]"
500,"(3, 1)","['AD', 0.2480415076875392]"
500,"(3, 3)","['AR', 2.5228009207971382]"
500,"(3, 4)","['AR', 4.9507526083161535]"
500,"(4, 0)","['AR', 0.2456772366816104]"
500,"(4, 1)","['AD', 0.6745046598020514]"
500,"(4, 2)","['AD', 1.595058966167386]"
500,"(4, 3)","['AD', 3.99896746308572]"
750,"(0, 0)","['AD', -0.09704790262259556]"
750,"(0, 1)","['AL', -0.24984131005012722]"
750,"(0, 2)","['AD', -0.28452750451810643]"
750,"(0, 3)","['AD', -0.18987599503851055]"
750,"(0, 4)","['AD', 0.1558582468652429]"
750,"(1, 0)","['AD', -0.08485240046946312]"
750,"(1, 1)","['AD', -0.12760692581562894]"
750,"(1, 2)","['AL', -0.573152998435431]"
750,"(1, 3)","['AD', 0.9411646123168228]"
750,"(1, 4)","['AD', 1.509626399433287]"
750,"(2, 0)","['AD', 0.0662046986921738]"
750,"(2, 1)","['AD', 0.14319054386179653]"
750,"(2, 3)","['AR', 3.663058105518499]"
750,"(2, 4)","['AD', 2.8434229977999483]"
750,"(3, 0)","['AD', 0.17202420487563186]"
750,"(3, 1)","['AD', 0.24899966811883908]"
750,"(3, 3)","['AR', 2.6682928990270702]"
750,"(3, 4)","['AR', 4.952257862451348]"
750,"(4, 0)","['AR', 0.24745828312187854]"
750,"(4, 1)","['AD', 0.6759489485299416]"
750,"(4, 2)","['AD', 1.5922861945565032]"
750,"(4, 3)","['AD', 4.037139650387109]"
1000,"(0, 0)","['AD', -0.11939491853013735]"
1000,"(0, 1)","['AL', -0.2617694255008961]"
1000,"(0, 2)","['AD', -0.3488156148675586]"
1000,"(0, 3)","['AD', -0.19409876287812902]"
1000,"(0, 4)","['AD', 0.21237009304605234]"
1000,"(1, 0)","['AD', -0.08470685453712766]"
1000,"(1, 1)","['AD', -0.1272897348311204]"
1000,"(1, 2)","['AL', -0.5847325070581791]"
1000,"(1, 3)","['AD', 0.963185578452246]"
1000,"(1, 4)","['AD', 1.5259776249351857]"
1000,"(2, 0)","['AD', 0.06719578167380238]"
1000,"(2, 1)","['AD', 0.1446012879471097]"
1000,"(2, 3)","['AR', 3.6685144101843896]"
1000,"(2, 4)","['AD', 2.847851709710908]"
1000,"(3, 0)","['AD', 0.17301898568063837]"
1000,"(3, 1)","['AD', 0.25065329062749764]"
1000,"(3, 3)","['AR', 2.7986202545283927]"
1000,"(3, 4)","['AR', 4.949738174729686]"
1000,"(4, 0)","['AR', 0.24670510485281127]"
1000,"(4, 1)","['AD', 0.6749134680881353]"
1000,"(4, 2)","['AD', 1.5891725371467602]"
1000,"(4, 3)","['AD', 4.096185222353686]"
1250,"(0, 0)","['AD', -0.1400623737434809]"
1250,"(0, 1)","['AL', -0.27568085100662554]"
1250,"(0, 2)","['AD', -0.40206250842590474]"
1250,"(0, 3)","['AD', -0.18305201177642014]"
1250,"(0, 4)","['AD', 0.27181587099472115]"
1250,"(1, 0)","['AD', -0.08419251234988402]"
1250,"(1, 1)","['AD', -0.12397450123126394]"
1250,"(1, 2)","['AL', -0.5992815725587043]"
1250,"(1, 3)","['AD', 0.9850481656133959]"
1250,"(1, 4)","['AD', 1.5480101971471187]"
1250,"(2, 0)","['AD', 0.06715333113491792]"
1250,"(2, 1)","['AD', 0.14576606895251598]"
1250,"(2, 3)","['AR', 3.6762904587314513]"
1250,"(2, 4)","['AD', 2.85437281579778]"
1250,"(3, 0)","['AD', 0.17370282764737777]"
1250,"(3, 1)","['AD', 0.2511598446510554]"
1250,"(3, 3)","['AR', 2.9758259248634884]"
1250,"(3, 4)","['AR', 4.951919621135122]"
1250,"(4, 0)","['AR', 0.24849590668033025]"
1250,"(4, 1)","['AD', 0.6751537541562701]"
1250,"(4, 2)","['AD', 1.5906411113767152]"
1250,"(4, 3)","['AD', 4.125740151124351]"
1500,"(0, 0)","['AD', -0.16842199242940614]"
1500,"(0, 1)","['AL', -0.28467765582519156]"
1500,"(0, 2)","['AD', -0.4472940723083316]"
1500,"(0, 3)","['AD', -0.19702759530770297]"
1500,"(0, 4)","['AD', 0.3504553296542775]"
1500,"(1, 0)","['AD', -0.08148777752377022]"
1500,"(1, 1)","['AD', -0.12120772692368954]"
1500,"(1, 2)","['AL', -0.605603166205571]"
1500,"(1, 3)","['AD', 1.0035244982348792]"
1500,"(1, 4)","['AD', 1.5718155720465574]"
1500,"(2, 0)","['AD', 0.06906279707397799]"
1500,"(2, 1)","['AD', 0.1468461870579567]"
1500,"(2, 3)","['AR', 3.6857520835837407]"
1500,"(2, 4)","['AD', 2.861192516652557]"
1500,"(3, 0)","['AD', 0.17466900323289164]"
1500,"(3, 1)","['AD', 0.25252692742051275]"
1500,"(3, 3)","['AR', 3.0889561723217094]"
1500,"(3, 4)","['AR', 4.954190760688378]"
1500,"(4, 0)","['AR', 0.24931615688519793]"
1500,"(4, 1)","['AD', 0.6760046304352523]"
1500,"(4, 2)","['AD', 1.5910694511722654]"
1500,"(4, 3)","['AD', 4.199444409570802]"
1750,"(0, 0)","['AD', -0.17409849537604638]"
1750,"(0, 1)","['AL', -0.2985029378734828]"
1750,"(0, 2)","['AD', -0.47894306293455835]"
1750,"(0, 3)","['AD', -0.1759986024269954]"
1750,"(0, 4)","['AD', 0.406248537355278]"
1750,"(1, 0)","['AD', -0.07985126299394256]"
1750,"(1, 1)","['AD', -0.11993867683125504]"
1750,"(1, 2)","['AL', -0.6094048951458074]"
1750,"(1, 3)","['AD', 1.022729819074388]"
1750,"(1, 4)","['AD', 1.5996313814356922]"
