Outer Key,Inner Key (Tuple),Value
250,"(0, 0)","['AD', -4.893579679074726]"
250,"(0, 1)","['AL', -1.739211920895676]"
250,"(0, 2)","['AD', -4.925725700709079]"
250,"(0, 3)","['AD', 0.46063503205232736]"
250,"(0, 4)","['AD', 4.063123922772936]"
250,"(1, 0)","['AD', 4.644641038361442]"
250,"(1, 1)","['AD', 4.124888053764872]"
250,"(1, 2)","['AL', 2.7669223724273357]"
250,"(1, 3)","['AD', 7.349758418770949]"
250,"(1, 4)","['AD', 8.249587821955403]"
250,"(2, 0)","['AD', 5.417064137840977]"
250,"(2, 1)","['AD', 6.098272135899165]"
250,"(2, 3)","['AD', 8.657918142579307]"
250,"(2, 4)","['AD', 9.050869319153055]"
250,"(3, 0)","['AD', 6.0577063871140915]"
250,"(3, 1)","['AD', 6.748906766824145]"
250,"(3, 3)","['AD', 8.813401384360262]"
250,"(3, 4)","['AD', 9.598046877953992]"
250,"(4, 0)","['AR', 6.989473298830149]"
250,"(4, 1)","['AR', 7.990147842410497]"
250,"(4, 2)","['AR', 8.855427700241393]"
250,"(4, 3)","['AR', 9.433565480463582]"
500,"(0, 0)","['AD', -3.6747541740232226]"
500,"(0, 1)","['AL', -1.3354083413378544]"
500,"(0, 2)","['AD', -2.631696613425609]"
500,"(0, 3)","['AD', 1.3454706092802846]"
500,"(0, 4)","['AD', 4.3609067746018715]"
500,"(1, 0)","['AD', 4.619714830311079]"
500,"(1, 1)","['AD', 4.125544689291673]"
500,"(1, 2)","['AL', 2.7431327653495345]"
500,"(1, 3)","['AD', 7.3299302508015405]"
500,"(1, 4)","['AD', 8.234984140476163]"
500,"(2, 0)","['AD', 5.412715128777198]"
500,"(2, 1)","['AD', 6.093078322842752]"
500,"(2, 3)","['AD', 8.651584487017365]"
500,"(2, 4)","['AD', 9.051274796707718]"
500,"(3, 0)","['AD', 6.054452249937984]"
500,"(3, 1)","['AD', 6.748205494211234]"
500,"(3, 3)","['AD', 8.818624671830163]"
500,"(3, 4)","['AD', 9.597159773385824]"
500,"(4, 0)","['AR', 6.988188153835065]"
500,"(4, 1)","['AR', 7.989306332829838]"
500,"(4, 2)","['AR', 8.856173596968105]"
500,"(4, 3)","['AR', 9.433438594157034]"
750,"(0, 0)","['AD', -2.9705972206867197]"
750,"(0, 1)","['AL', -0.7769261848054552]"
750,"(0, 2)","['AD', -1.7079032160935668]"
750,"(0, 3)","['AD', 1.8465786547341043]"
750,"(0, 4)","['AD', 4.9792472042246025]"
750,"(1, 0)","['AD', 4.616012360786001]"
750,"(1, 1)","['AD', 4.14163523714088]"
750,"(1, 2)","['AL', 2.7244825509530717]"
750,"(1, 3)","['AD', 7.332955538543991]"
750,"(1, 4)","['AD', 8.250471952704764]"
750,"(2, 0)","['AD', 5.414126489125712]"
750,"(2, 1)","['AD', 6.089052460660437]"
750,"(2, 3)","['AD', 8.649762525067688]"
750,"(2, 4)","['AD', 9.04657645476632]"
750,"(3, 0)","['AD', 6.058185385960353]"
750,"(3, 1)","['AD', 6.749432215405845]"
750,"(3, 3)","['AD', 8.820670297743797]"
750,"(3, 4)","['AD', 9.597048990297061]"
750,"(4, 0)","['AR', 6.987236602043736]"
750,"(4, 1)","['AR', 7.990214741378536]"
750,"(4, 2)","['AR', 8.85764720736114]"
750,"(4, 3)","['AR', 9.434226358712491]"
1000,"(0, 0)","['AD', -1.7355530659461504]"
1000,"(0, 1)","['AL', -0.5940139227983264]"
1000,"(0, 2)","['AD', -0.9600651723944759]"
1000,"(0, 3)","['AD', 2.213970460796258]"
1000,"(0, 4)","['AD', 5.407445618953409]"
1000,"(1, 0)","['AD', 4.617575164805714]"
1000,"(1, 1)","['AD', 4.17040353057593]"
1000,"(1, 2)","['AL', 2.6899873588365684]"
1000,"(1, 3)","['AD', 7.347336765735795]"
1000,"(1, 4)","['AD', 8.232290577120015]"
1000,"(2, 0)","['AD', 5.414749466473014]"
1000,"(2, 1)","['AD', 6.0977205221373225]"
1000,"(2, 3)","['AD', 8.658360981808757]"
1000,"(2, 4)","['AD', 9.044993954741022]"
1000,"(3, 0)","['AD', 6.058401450922538]"
1000,"(3, 1)","['AD', 6.755253812181117]"
1000,"(3, 3)","['AD', 8.820031813732381]"
1000,"(3, 4)","['AD', 9.59917241341124]"
1000,"(4, 0)","['AR', 6.993164932392443]"
1000,"(4, 1)","['AR', 7.992452255144562]"
1000,"(4, 2)","['AR', 8.85873871142202]"
1000,"(4, 3)","['AR', 9.434645224319633]"
1250,"(0, 0)","['AD', -0.7148912350031835]"
1250,"(0, 1)","['AL', -0.17503340684971402]"
1250,"(0, 2)","['AD', -0.7412965037949787]"
1250,"(0, 3)","['AD', 2.685492465921421]"
1250,"(0, 4)","['AD', 5.74256067500396]"
1250,"(1, 0)","['AD', 4.625543902226707]"
1250,"(1, 1)","['AD', 4.185851213153032]"
1250,"(1, 2)","['AL', 2.6773117604136845]"
1250,"(1, 3)","['AD', 7.360073453810725]"
1250,"(1, 4)","['AD', 8.233460155032075]"
1250,"(2, 0)","['AD', 5.420326909116205]"
1250,"(2, 1)","['AD', 6.10240995822753]"
1250,"(2, 3)","['AD', 8.659395288257448]"
1250,"(2, 4)","['AD', 9.047751086344679]"
1250,"(3, 0)","['AD', 6.06563326112429]"
1250,"(3, 1)","['AD', 6.7597868148732445]"
1250,"(3, 3)","['AD', 8.824495246490336]"
1250,"(3, 4)","['AD', 9.60149645174965]"
1250,"(4, 0)","['AR', 6.999124236583238]"
1250,"(4, 1)","['AR', 7.995654480145706]"
1250,"(4, 2)","['AR', 8.861295336904805]"
1250,"(4, 3)","['AR', 9.435083712728021]"
1500,"(0, 0)","['AD', -0.08757345236616408]"
1500,"(0, 1)","['AL', 0.15809074718611832]"
1500,"(0, 2)","['AD', -0.4812390103376157]"
1500,"(0, 3)","['AD', 3.0987427757595394]"
1500,"(0, 4)","['AD', 5.841162799223885]"
1500,"(1, 0)","['AD', 4.641551160186157]"
1500,"(1, 1)","['AD', 4.209726173642644]"
1500,"(1, 2)","['AL', 2.678718717821322]"
1500,"(1, 3)","['AD', 7.369552091699427]"
1500,"(1, 4)","['AD', 8.255370075684914]"
1500,"(2, 0)","['AD', 5.426254428593201]"
1500,"(2, 1)","['AD', 6.113407183615513]"
1500,"(2, 3)","['AD', 8.663529638065086]"
1500,"(2, 4)","['AD', 9.054609522790566]"
1500,"(3, 0)","['AD', 6.072358595157517]"
1500,"(3, 1)","['AD', 6.767309225189234]"
1500,"(3, 3)","['AD', 8.830959280196142]"
1500,"(3, 4)","['AD', 9.602800632174837]"
1500,"(4, 0)","['AR', 7.005317278596282]"
1500,"(4, 1)","['AR', 7.9970741614574]"
1500,"(4, 2)","['AR', 8.863323223652438]"
1500,"(4, 3)","['AR', 9.435614502507107]"
1750,"(0, 0)","['AD', 0.43673012056409455]"
1750,"(0, 1)","['AL', 0.40878778860460263]"
1750,"(0, 2)","['AD', -0.309286400999345]"
1750,"(0, 3)","['AD', 3.4645482949039557]"
1750,"(0, 4)","['AD', 6.083413927698005]"
1750,"(1, 0)","['AD', 4.65454767210146]"
1750,"(1, 1)","['AD', 4.246001089445622]"
1750,"(1, 2)","['AL', 2.674804219090157]"
1750,"(1, 3)","['AD', 7.394007806381054]"
1750,"(1, 4)","['AD', 8.26987275066424]"
1750,"(2, 0)","['AD', 5.441361095454158]"
1750,"(2, 1)","['AD', 6.124789557306986]"
1750,"(2, 3)","['AD', 8.672540310626525]"
1750,"(2, 4)","['AD', 9.055867346321211]"
1750,"(3, 0)","['AD', 6.080651990180355]"
1750,"(3, 1)","['AD', 6.772552274903038]"
1750,"(3, 3)","['AD', 8.832709740036236]"
1750,"(3, 4)","['AD', 9.604407323824129]"
1750,"(4, 0)","['AR', 7.008084464683223]"
1750,"(4, 1)","['AR', 8.000243357961425]"
1750,"(4, 2)","['AR', 8.863507612192612]"
1750,"(4, 3)","['AR', 9.435473075400637]"
2000,"(0, 0)","['AD', 0.7832377341343544]"
2000,"(0, 1)","['AL', 0.6783863691903581]"
2000,"(0, 2)","['AD', -0.08020986998473312]"
2000,"(0, 3)","['AD', 3.7022622484809324]"
2000,"(0, 4)","['AD', 6.2499321151003375]"
2000,"(1, 0)","['AD', 4.6658262546329965]"
2000,"(1, 1)","['AD', 4.2857698329964045]"
2000,"(1, 2)","['AL', 2.6971010604013683]"
2000,"(1, 3)","['AD', 7.411402264950394]"
2000,"(1, 4)","['AD', 8.267352419076499]"
2000,"(2, 0)","['AD', 5.453739797659825]"
2000,"(2, 1)","['AD', 6.134606911865406]"
2000,"(2, 3)","['AD', 8.683894164640144]"
2000,"(2, 4)","['AD', 9.063595126582122]"
2000,"(3, 0)","['AD', 6.091313391648473]"
2000,"(3, 1)","['AD', 6.7797699156745495]"
2000,"(3, 3)","['AD', 8.838774534345035]"
2000,"(3, 4)","['AD', 9.605936788929153]"
2000,"(4, 0)","['AR', 7.018633059583718]"
2000,"(4, 1)","['AR', 8.002938824760484]"
2000,"(4, 2)","['AR', 8.865269096559471]"
2000,"(4, 3)","['AR', 9.4363896719943]"
2250,"(0, 0)","['AD', 1.109095869815277]"
2250,"(0, 1)","['AL', 0.9601784226490866]"
2250,"(0, 2)","['AD', 0.1900311589358805]"
2250,"(0, 3)","['AD', 3.823145408843215]"
2250,"(0, 4)","['AD', 6.350264390949815]"
2250,"(1, 0)","['AD', 4.674344393940764]"
2250,"(1, 1)","['AD', 4.318495330654844]"
2250,"(1, 2)","['AL', 2.7171606646355664]"
2250,"(1, 3)","['AD', 7.4333215376691655]"
2250,"(1, 4)","['AD', 8.281306451434952]"
2250,"(2, 0)","['AD', 5.465223887568108]"
2250,"(2, 1)","['AD', 6.146613692954053]"
2250,"(2, 3)","['AD', 8.693952589612564]"
2250,"(2, 4)","['AD', 9.069918796179294]"
2250,"(3, 0)","['AD', 6.102141860606737]"
2250,"(3, 1)","['AD', 6.786256902346574]"
2250,"(3, 3)","['AD', 8.84454116378255]"
2250,"(3, 4)","['AD', 9.60869645326595]"
2250,"(4, 0)","['AR', 7.023819901805251]"
2250,"(4, 1)","['AR', 8.00603985868799]"
2250,"(4, 2)","['AR', 8.867409012250091]"
2250,"(4, 3)","['AR', 9.437032239357693]"
2500,"(0, 0)","['AD', 1.4604524441123912]"
2500,"(0, 1)","['AL', 1.1475064756337607]"
2500,"(0, 2)","['AD', 0.3116974284821331]"
2500,"(0, 3)","['AD', 4.015272170103763]"
2500,"(0, 4)","['AD', 6.410176290534689]"
2500,"(1, 0)","['AD', 4.693825613990204]"
2500,"(1, 1)","['AD', 4.32859946368107]"
2500,"(1, 2)","['AL', 2.68633288714151]"
2500,"(1, 3)","['AD', 7.454206551096112]"
2500,"(1, 4)","['AD', 8.29752404344308]"
2500,"(2, 0)","['AD', 5.479013147478539]"
2500,"(2, 1)","['AD', 6.15439370553217]"
2500,"(2, 3)","['AD', 8.703983314465946]"
2500,"(2, 4)","['AD', 9.074393546370647]"
2500,"(3, 0)","['AD', 6.1125879060836406]"
2500,"(3, 1)","['AD', 6.796675235655057]"
2500,"(3, 3)","['AD', 8.847894158087094]"
2500,"(3, 4)","['AD', 9.609964112781]"
2500,"(4, 0)","['AR', 7.030633813893005]"
2500,"(4, 1)","['AR', 8.008626720449266]"
2500,"(4, 2)","['AR', 8.869910267889916]"
2500,"(4, 3)","['AR', 9.438057190563136]"
2750,"(0, 0)","['AD', 1.6989336789141734]"
2750,"(0, 1)","['AL', 1.308025756784752]"
2750,"(0, 2)","['AD', 0.3833329545449055]"
2750,"(0, 3)","['AD', 4.151002880991222]"
2750,"(0, 4)","['AD', 6.5276542898860335]"
2750,"(1, 0)","['AD', 4.710439371456209]"
2750,"(1, 1)","['AD', 4.359323253855899]"
2750,"(1, 2)","['AL', 2.7196557570962643]"
2750,"(1, 3)","['AD', 7.4662308122203624]"
